4FGL-DR4,source_type,glat,glon,significance,r95,Ep,Fp,d,diffuse,p_pulsar
4FGL J0009.7-3217,rdg-bll,-79.589,0.673,9.978,0.057,0.276,0.059,0.116,-0.557,0.004
4FGL J0009.8-4317,bll-bll,-71.766,327.775,13.523,0.046,0.100,0.134,0.001,-0.699,0.005
4FGL J0009.8+1340,bcu-bll,-47.971,107.752,5.362,0.075,4.678,0.021,1.485,-0.202,0.002
4FGL J0009.8-6358,bcu-bll,-52.552,310.407,5.316,0.146,0.100,0.784,-0.027,-0.576,0.004
4FGL J0009.9+2810,unid-bll,-33.807,111.931,5.353,0.106,0.667,0.009,0.073,-0.278,0.005
4FGL J0010.1+1631,unid-bll,-45.218,108.813,4.604,0.077,3.982,0.005,0.180,-0.190,0.005
4FGL J0010.2-2431,unid-bll,-80.374,46.330,4.321,0.094,2.196,0.007,0.302,-0.610,0.004
4FGL J0010.6+2043,fsrq-bll,-41.128,110.219,6.997,0.188,0.127,0.061,0.141,-0.145,0.006
4FGL J0010.6-3025,fsrq-fsrq,-80.482,10.264,24.289,0.055,0.257,1.159,0.313,-0.654,0.002
4FGL J0010.8-2154,bcu-bll,-79.401,60.281,6.050,0.121,0.100,0.151,-0.028,-0.628,0.005
4FGL J0011.4-4110,bcu-bll,-73.720,330.752,4.389,0.193,0.100,0.058,0.173,-0.666,0.005
4FGL J0011.4+0057,fsrq-fsrq,-60.303,102.407,28.245,0.058,0.175,1.806,0.167,-0.453,0.006
4FGL J0011.5+4822,unid-fsrq,-13.961,116.118,4.283,0.271,0.100,0.444,0.270,0.000,0.008
4FGL J0011.8-3142,bcu-bll,-80.235,2.559,7.793,0.088,14.057,0.010,0.108,-0.664,0.006
4FGL J0012.0+7043,bcu-fsrq,8.112,119.661,12.206,0.057,0.100,1.600,0.016,0.727,0.004
4FGL J0013.0+3355,fsrq-fsrq,-28.277,113.895,11.104,0.056,0.720,0.025,0.199,-0.236,0.010
4FGL J0013.1-3955,bll-bll,-74.936,332.340,24.768,0.034,2.187,0.281,0.266,-0.657,0.001
4FGL J0013.4+0950,bcu-bll,-51.902,107.642,9.274,0.056,1000.000,0.849,-0.100,0.130,0.006
4FGL J0013.6+4051,agn-bll,-21.451,115.258,7.020,0.072,0.100,0.432,-0.100,-0.177,0.006
4FGL J0013.6-0424,fsrq-bll,-65.553,99.660,9.184,0.136,0.100,0.142,-0.065,-0.443,0.006
4FGL J0013.9-1854,bll-bll,-78.092,74.588,14.792,0.040,40.012,0.071,0.034,-0.583,0.009
4FGL J0014.1+1910,bll-bll,-42.827,110.890,9.595,0.101,0.356,0.153,0.250,-0.307,0.002
