4FGL-DR4,source_type,glat,glon,significance,r95,Ep,Fp,d,diffuse,p_pulsar
4FGL J0623.0-3010,bcu-fsrq,-18.922,237.864,6.640,0.114,0.154,0.299,0.291,-0.301,0.003
4FGL J0623.2+3044,bll-bll,8.011,182.410,14.728,0.029,9.020,0.406,0.334,0.390,0.005
4FGL J0623.6-3351,bcu-fsrq,-20.090,241.559,32.752,0.023,0.340,4.845,0.263,-0.239,0.005
4FGL J0623.9-5259,bll-bll,-25.359,261.535,11.075,0.143,1000.000,0.066,-0.030,-0.132,0.006
4FGL J0624.0+0855,unid-bll,-1.945,201.870,4.262,0.084,6.866,0.040,0.662,0.671,0.002
4FGL J0624.1-6330,bcu-bll,-27.081,273.102,5.766,0.094,5.101,0.007,0.612,-0.231,0.006
4FGL J0624.2-2943,bcu-bll,-18.514,237.504,6.064,0.060,1000.000,0.014,-0.005,-0.330,0.006
4FGL J0624.7-4903,unid-fsrq,-24.335,257.341,6.812,0.159,0.632,0.102,0.969,-0.370,0.040
4FGL J0624.8-0735,unid-bll,-9.332,216.727,7.270,0.075,1.196,0.164,0.454,0.540,0.001
4FGL J0625.3+4439,bll-bll,14.391,169.777,28.906,0.026,0.925,0.873,0.096,0.104,0.002
4FGL J0625.5+7029,unid-bll,23.350,144.113,5.734,0.043,14.637,0.005,0.200,0.043,0.005
4FGL J0625.8-5441,fsrq-fsrq,-25.437,263.436,12.170,0.113,0.100,5.859,0.056,0.053,0.005
4FGL J0626.4-4259,bll-bll,-22.443,251.045,13.376,0.048,10.313,0.138,0.402,-0.208,0.002
4FGL J0626.4-1712,bll-bll,-13.138,225.737,7.171,0.053,0.100,0.565,-0.061,0.267,0.006
4FGL J0626.8-2603,bcu-bll,-16.610,234.170,4.219,0.392,0.100,0.528,-0.065,-0.157,0.006
4FGL J0627.0+2623,bcu-bll,6.771,186.687,5.168,0.057,64.523,0.082,1.041,0.508,0.015
4FGL J0627.0-3529,rdg-bll,-19.970,243.451,45.122,0.019,57.633,2.752,0.035,-0.134,0.015
4FGL J0628.5+6218,unid-fsrq,21.251,152.675,4.355,0.229,0.241,0.168,0.778,0.068,0.003
4FGL J0628.6-6711,bcu-bll,-27.041,277.264,4.348,0.141,0.100,0.059,0.171,-0.183,0.006
4FGL J0628.6+6900,bcu-bll,23.208,145.761,12.096,0.112,0.571,0.067,0.129,-0.081,0.004
4FGL J0628.8-6250,bll-bll,-26.465,272.439,26.967,0.034,0.976,0.786,0.229,-0.189,0.004
4FGL J0629.3-1959,bll-bll,-13.667,228.650,23.511,0.022,0.468,6.927,0.175,0.252,0.006
4FGL J0629.6+2435,bcu-bll,6.480,188.580,9.657,0.056,4.517,0.151,0.501,0.451,0.001
4FGL J0630.1-2010,bcu-bll,-13.574,228.896,5.082,0.059,0.100,0.019,-0.006,0.243,0.005
4FGL J0630.2+3228,bcu-bll,10.102,181.505,4.920,0.053,2.806,0.015,0.196,0.364,0.004
4FGL J0630.9-2406,bll-bll,-14.995,232.684,103.309,0.012,11.253,75.098,0.197,-0.167,0.011
4FGL J0631.0+5626,unid-bll,19.648,158.701,6.179,0.062,2.606,0.018,0.549,-0.107,0.003
4FGL J0631.1+2020,bcu-bll,4.851,192.537,14.253,0.064,1.047,1.049,0.550,0.339,0.015
4FGL J0631.4-1650,unid-bll,-11.899,225.922,4.638,0.253,0.100,0.513,0.002,0.235,0.006
4FGL J0631.5+1036,psr,0.454,201.236,48.175,0.025,1.679,66.999,0.733,1.034,0.991
4FGL J0631.8+0645,psr,-1.245,204.683,30.863,0.032,2.322,23.936,1.097,0.720,0.986
4FGL J0632.0-1032,bcu-pulsar,-9.041,220.198,11.594,0.070,0.632,0.675,0.343,0.533,0.736
4FGL J0632.7+1215,unid-pulsar,1.478,199.910,4.773,0.146,0.607,0.375,0.762,0.823,0.898
4FGL J0632.8+0550,hmb-bll,-1.448,205.611,5.042,0.100,0.100,1.361,-0.100,0.806,0.003
4FGL J0633.4-2222,fsrq-fsrq,-13.768,231.280,14.547,0.070,0.355,0.917,0.638,0.018,0.001
4FGL J0633.7+0632,psr,-0.928,205.093,96.174,0.015,1.231,959.123,0.747,0.727,0.995
4FGL J0633.9+5840,unid-bll,20.745,156.590,5.155,0.079,0.100,0.009,0.028,-0.230,0.008
4FGL J0633.9+1746,psr,4.273,195.135,897.975,0.008,1.254,6488605.864,0.740,0.546,0.967
4FGL J0634.6-3046,unid-fsrq,-16.809,239.402,8.770,0.229,0.167,1.719,0.797,0.104,0.027
4FGL J0634.7+1036,unid-pulsar,1.169,201.595,5.495,0.285,0.319,2.832,0.699,0.890,0.611
4FGL J0634.9-2335,fsrq-fsrq,-13.960,232.570,26.559,0.065,0.100,4.245,0.170,0.014,0.008
4FGL J0635.6-7518,fsrq-fsrq,-27.171,286.405,29.423,0.035,0.100,28.754,0.144,-0.041,0.008
4FGL J0635.7+3113,unid-bll,10.635,183.158,4.859,0.061,0.100,0.046,-0.001,0.228,0.005
4FGL J0636.7+7139,bcu-fsrq,24.511,143.119,26.050,0.023,0.100,1.913,0.090,0.048,0.010
4FGL J0637.3-6220,unid-bll,-25.421,272.065,4.120,0.080,4.068,0.005,0.477,-0.203,0.006
4FGL J0637.4-3537,bcu-bll,-18.037,244.364,8.348,0.095,1.115,0.060,0.358,-0.020,0.004
4FGL J0638.2+6020,bcu-bll,21.777,155.066,7.388,0.111,0.615,0.060,0.444,-0.102,0.009
4FGL J0638.6+7320,fsrq-fsrq,25.003,141.340,13.200,0.088,0.100,7.585,0.178,-0.059,0.004
4FGL J0638.7+2753,bcu-bll,9.776,186.504,5.666,0.062,12.503,0.017,0.245,0.185,0.005
4FGL J0638.7+5658,bcu-fsrq,20.825,158.534,4.762,0.321,0.153,0.224,0.471,-0.196,0.002
4FGL J0639.1-8009,unid-fsrq,-27.220,291.860,5.127,0.205,0.240,0.168,0.400,0.259,0.002
4FGL J0639.4+0655,snr-pulsar,0.503,205.400,19.814,0.000,0.613,990.583,0.691,0.873,0.993
4FGL J0639.6+3503,bcu-bll,12.964,179.952,7.948,0.159,0.100,1.579,0.006,0.176,0.002
4FGL J0640.0-1253,bll-bll,-8.321,223.214,17.985,0.030,1000.000,2.539,0.063,0.503,0.013
4FGL J0640.4+3307,unid-bll,12.330,181.834,4.622,0.073,3.791,0.008,0.084,0.143,0.005
4FGL J0640.5-2714,unid-bll,-14.250,236.543,4.329,0.141,1.084,0.025,0.469,0.041,0.006
4FGL J0640.7-1924,bcu-fsrq,-10.997,229.241,4.553,0.359,0.121,0.611,0.367,0.337,0.005
4FGL J0640.8+2432,bcu-bll,8.747,189.768,6.268,0.065,13.152,0.077,0.680,0.178,0.003
4FGL J0640.9-5204,unid-bll,-22.622,261.234,4.514,0.057,5.693,0.004,0.518,-0.241,0.011
4FGL J0641.4+3349,unid-bll,12.797,181.268,5.362,0.089,12.247,0.010,0.161,0.164,0.005
4FGL J0641.7-0320,fsrq-fsrq,-3.679,214.811,20.564,0.060,0.148,53.272,0.420,0.820,0.006
4FGL J0642.4+1048,unid-fsrq,2.935,202.282,6.032,0.230,0.316,1.073,0.564,0.589,0.018
4FGL J0642.9-6501,unid-fsrq,-25.298,275.111,10.308,0.105,0.179,0.204,0.246,-0.148,0.005
4FGL J0643.2-5356,bcu-fsrq,-22.786,263.281,16.514,0.059,0.100,0.319,0.119,-0.087,0.008
4FGL J0643.3+0857,fsrq-fsrq,2.286,204.042,27.626,0.044,0.199,64.396,0.365,0.793,0.006
4FGL J0643.4-3314,bcu-bll,-16.023,242.513,4.230,0.157,0.789,0.040,0.452,-0.024,0.004
4FGL J0644.4-6712,fsrq-fsrq,-25.528,277.527,52.550,0.015,0.930,5.334,0.184,-0.171,0.009
4FGL J0644.4-1401,unid-bll,-7.866,224.702,4.084,0.053,6.590,0.011,0.267,0.475,0.004
4FGL J0644.6+6039,bll-bll,22.617,154.981,16.269,0.054,0.100,0.255,-0.008,-0.115,0.006
4FGL J0644.6-2853,bcu-bll,-14.075,238.472,10.999,0.047,8.444,0.117,0.416,0.051,0.003
4FGL J0644.7+3917,fsrq-bll,15.590,176.373,4.116,0.132,0.100,0.071,-0.095,0.070,0.005
4FGL J0644.7-4949,unid-fsrq,-21.409,259.088,4.418,0.166,0.418,0.040,0.616,-0.233,0.007
4FGL J0646.4-5455,msp,-22.595,264.449,18.292,0.050,1.936,0.656,1.956,-0.060,0.995
4FGL J0646.5+0018,spp-pulsar,-0.955,212.102,6.233,0.174,0.500,2.302,0.781,0.988,0.973
4FGL J0646.7-3913,fsrq-fsrq,-17.609,248.575,5.460,0.256,0.100,0.771,0.406,-0.083,0.003
4FGL J0647.0-5138,bll-bll,-21.593,261.068,11.314,0.046,1000.000,0.229,-0.018,-0.203,0.005
4FGL J0647.6+4459,unid-fsrq,18.172,171.032,5.322,0.215,0.209,1.444,0.905,-0.005,0.017
4FGL J0647.7-4418,bcu-bll,-19.201,253.672,9.636,0.078,1.608,0.070,0.496,-0.164,0.007
4FGL J0647.7-6058,bll-fsrq,-23.936,270.878,14.901,0.043,0.100,3.318,0.058,0.061,0.006
4FGL J0647.8+4527,bcu-bll,18.373,170.572,4.858,0.106,0.100,1.205,-0.001,-0.021,0.004
4FGL J0648.0-3045,fsrq-fsrq,-14.151,240.533,34.907,0.041,0.154,18.644,0.273,0.048,0.005
4FGL J0648.1+1605,bcu-bll,6.556,198.180,6.646,0.046,14.016,0.035,0.205,0.164,0.004
4FGL J0648.2+1745,bcu-bll,7.326,196.685,6.597,0.053,0.100,0.155,-0.097,0.137,0.005
4FGL J0648.4-1744,fsrq-fsrq,-8.623,228.511,91.613,0.013,0.217,386.225,0.236,0.493,0.005
4FGL J0648.4-6941,bll-bll,-25.572,280.306,4.431,0.083,15.169,0.005,0.324,-0.071,0.006
4FGL J0648.6-3623,unid-fsrq,-16.216,245.974,6.312,0.200,0.546,0.201,0.793,0.137,0.251
4FGL J0648.7+1516,bll-bll,6.324,198.977,38.210,0.015,116.205,10.453,0.112,0.136,0.017
4FGL J0649.3+2230,bcu-bll,9.618,192.481,6.856,0.102,6.223,0.025,0.032,0.330,0.006
4FGL J0649.5-3139,bll-bll,-14.209,241.525,15.987,0.023,30.693,0.587,0.379,0.039,0.014
4FGL J0650.2+5620,fsrq-bll,22.141,159.684,4.856,0.151,0.100,0.103,0.041,-0.224,0.004
4FGL J0650.2-5144,unid-bll,-21.152,261.336,10.282,0.037,15.107,0.050,0.464,-0.154,0.003
4FGL J0650.2-1636,bcu-fsrq,-7.733,227.670,24.539,0.055,0.100,15.576,0.233,0.504,0.004
4FGL J0650.5-2851,bcu-fsrq,-12.899,238.976,6.527,0.167,0.362,0.315,0.648,0.157,0.002
4FGL J0650.6+2055,unid-bll,9.203,194.055,20.579,0.030,25.034,0.662,0.191,0.084,0.011
4FGL J0650.7+2503,bll-bll,11.002,190.280,98.139,0.012,157.393,124.021,0.081,0.086,0.017
4FGL J0651.0+4013,bll-bll,17.066,175.929,21.622,0.035,1.891,0.355,0.162,-0.031,0.010
4FGL J0651.4+6525,bll-bll,24.500,150.130,19.518,0.048,1.022,0.126,0.138,-0.230,0.001
4FGL J0651.5+7956,bcu-bll,26.684,134.197,6.305,0.090,0.100,0.446,-0.100,-0.230,0.007
4FGL J0651.9-4330,unid-fsrq,-18.204,253.152,4.280,0.236,0.329,0.182,0.765,-0.117,0.004
4FGL J0652.1-4813,bll-bll,-19.765,257.862,7.517,0.109,7.311,0.021,0.221,-0.183,0.004
4FGL J0652.5+1932,bcu-fsrq,9.018,195.513,6.868,0.143,0.623,0.197,0.861,0.023,0.250
4FGL J0652.8-1855,unid-fsrq,-8.209,230.047,4.951,0.209,0.219,0.425,0.443,0.435,0.029
4FGL J0652.9+4707,msp,19.764,169.231,12.943,0.101,1.143,0.369,1.908,-0.045,0.973
4FGL J0653.4+1813,unid-bll,8.631,196.810,5.891,0.074,0.100,0.070,0.041,-0.027,0.004
4FGL J0653.6+1636,bcu-bll,7.964,198.297,10.283,0.085,0.599,0.093,0.049,0.060,0.002
4FGL J0653.7+2815,bll-bll,12.927,187.571,23.412,0.033,2.603,0.603,0.398,-0.094,0.013
4FGL J0653.8-1330,unid-bll,-5.589,225.266,6.898,0.054,19.074,0.060,0.459,0.682,0.004
4FGL J0654.0-4152,bll-bll,-17.259,251.704,6.788,0.092,0.100,0.046,-0.028,-0.002,0.005
4FGL J0654.3+0923,bcu-bll,4.898,204.882,6.414,0.144,1.536,0.044,0.130,0.315,0.003
4FGL J0654.3+5042,fsrq-fsrq,21.108,165.685,40.131,0.022,0.512,3.481,0.179,-0.072,0.005
4FGL J0654.4+4514,fsrq-fsrq,19.388,171.207,36.337,0.020,0.237,4.693,0.137,-0.040,0.006
4FGL J0654.6-4952,bcu-fsrq,-19.910,259.660,12.307,0.200,0.100,0.300,0.097,-0.222,0.006
4FGL J0654.7+4246,bll-bll,18.609,173.682,12.574,0.040,5.725,0.106,0.126,-0.037,0.002
4FGL J0655.3-0037,spp-fsrq,0.574,213.935,5.696,0.144,0.366,1.439,0.711,0.756,0.099
4FGL J0655.4-2631,bcu-bll,-10.932,237.268,9.332,0.074,1.745,0.117,0.353,0.338,0.002
4FGL J0655.5+1552,unid-fsrq,8.057,199.161,4.462,0.156,0.840,0.121,1.401,0.094,0.032
4FGL J0656.0+2420,fsrq-fsrq,11.794,191.451,5.043,0.232,0.227,0.244,0.501,0.010,0.001
4FGL J0656.3-0322,fsrq-fsrq,-0.454,216.485,26.143,0.047,0.224,59.881,0.413,0.800,0.007
4FGL J0656.3+4235,bll-bll,18.826,173.974,8.876,0.047,6.063,0.048,0.125,0.016,0.003
4FGL J0656.3-2404,bll-bll,-9.695,235.101,6.883,0.060,0.144,0.052,0.049,0.182,0.004
4FGL J0656.5+4218,unid-bll,18.769,174.266,6.153,0.064,5.883,0.020,0.242,0.012,0.004
4FGL J0657.4-4658,msp,-18.511,256.941,14.760,0.066,2.010,0.339,0.993,-0.127,0.996
4FGL J0657.7-5340,unid-fsrq,-20.667,263.668,4.235,0.195,0.341,0.044,0.419,-0.120,0.005
4FGL J0658.1-5840,bcu-bll,-22.083,268.817,7.066,0.058,0.100,0.050,0.033,-0.077,0.004
4FGL J0658.2+2709,bcu-bll,13.401,189.040,6.153,0.085,3.606,0.033,1.904,-0.055,0.033
4FGL J0658.6+0636,bcu-bll,4.604,207.854,10.889,0.069,10.098,0.152,0.281,0.322,0.003
4FGL J0658.7-0407,unid-pulsar,-0.262,217.426,5.998,0.158,0.389,2.527,0.681,0.841,0.831
4FGL J0658.7+2318,unid-bll,11.909,192.676,6.371,0.157,0.100,0.083,-0.045,-0.118,0.005
4FGL J0659.2-1758,unid-bll,-6.414,229.869,5.289,0.094,1.209,0.033,0.172,0.597,0.004
4FGL J0659.6-2742,fsrq-fsrq,-10.592,238.753,12.055,0.284,0.318,0.915,0.427,0.181,0.010
4FGL J0659.6-6742,bcu-bll,-24.190,278.382,8.183,0.046,362.723,0.081,0.105,0.019,0.006
4FGL J0659.7+1416,psr,8.268,201.068,43.549,0.052,0.187,161.921,1.020,-0.010,0.969
4FGL J0659.9-2900,unid-bll,-11.083,239.981,5.224,0.105,0.758,0.016,0.084,-0.012,0.004
4FGL J0659.9+1709,fsrq-fsrq,9.556,198.468,9.751,0.084,0.100,2.340,0.075,0.010,0.004
4FGL J0700.1-6311,bcu-bll,-23.055,273.599,14.177,0.045,4.302,0.049,0.241,-0.030,0.002
4FGL J0700.2-5118,unid-bll,-19.539,261.421,7.722,0.089,0.487,0.020,0.044,-0.124,0.004
4FGL J0700.2+1304,bll-bll,7.852,202.224,17.054,0.034,3.540,0.280,0.202,0.057,0.023
4FGL J0700.4-4308,unid-bll,-16.641,253.387,5.862,0.233,0.100,0.445,0.197,-0.052,0.007
4FGL J0700.5-6610,bll-bll,-23.760,276.770,94.477,0.012,1.303,36.077,0.148,0.000,0.007
4FGL J0700.6+3558,unid-pulsar,17.265,180.796,12.413,0.069,1.178,0.207,0.814,-0.071,0.494
4FGL J0700.8+1551,unid-bll,9.185,199.748,10.393,0.077,4.901,0.098,1.294,-0.061,0.015
4FGL J0701.3-0327,unid-bll,0.634,217.138,4.291,0.185,0.153,0.672,0.223,0.894,0.005
4FGL J0701.5+2511,bcu-bll,13.267,191.176,9.157,0.047,1000.000,0.893,-0.064,-0.119,0.008
4FGL J0701.5-4634,fsrq-fsrq,-17.706,256.802,42.799,0.030,0.265,9.482,0.342,-0.159,0.005
4FGL J0702.7-1951,bll-bll,-6.528,231.923,40.038,0.020,0.845,8.053,0.145,0.569,0.003
4FGL J0703.2+6809,bcu-bll,26.122,147.385,5.140,0.068,12.931,0.005,0.201,-0.256,0.005
4FGL J0703.2-3914,bll-bll,-14.646,249.863,21.516,0.039,0.559,0.536,0.109,0.026,0.008
4FGL J0703.3-0050,bll-bll,2.264,215.042,24.611,0.056,0.860,2.040,0.287,0.510,0.001
4FGL J0704.3-4829,unid-bll,-17.954,258.853,9.712,0.040,16.597,0.027,0.124,-0.131,0.008
4FGL J0704.6-1055,unid-pulsar,-2.073,224.149,4.730,0.155,0.489,1.758,0.707,1.104,0.875
4FGL J0704.7+4508,bcu-bll,21.079,171.935,6.261,0.128,0.100,0.086,0.099,-0.068,0.004
4FGL J0704.8+4907,bcu-fsrq,22.261,167.827,17.068,0.051,0.206,1.412,0.306,-0.123,0.002
4FGL J0704.9-1007,unid-pulsar,-1.639,223.471,5.267,0.290,0.480,1.536,0.793,0.875,0.981
4FGL J0705.0+1331,unid-bll,9.086,202.323,4.884,0.070,3.576,0.020,1.097,-0.108,0.003
4FGL J0705.7-4848,bcu-pulsar,-17.845,259.260,19.172,0.041,0.534,1.367,0.348,-0.108,0.458
4FGL J0705.8-0004,unid-pulsar,3.170,214.635,7.897,0.162,0.845,0.546,0.917,0.546,1.000
4FGL J0705.9+5309,bcu-bll,23.501,163.656,9.492,0.062,0.401,0.020,0.041,-0.180,0.004
4FGL J0706.1+0246,bcu-bll,4.545,212.136,7.990,0.074,1000.000,0.768,0.068,0.534,0.006
4FGL J0706.3-3250,unid-bll,-11.452,244.133,4.791,0.077,0.279,0.067,0.255,0.067,0.006
4FGL J0706.5+3744,bll-bll,18.988,179.497,39.959,0.016,13.202,2.161,0.121,-0.163,0.012
4FGL J0706.8-4351,unid-fsrq,-15.828,254.536,5.502,0.320,0.312,0.155,0.620,-0.093,0.005
4FGL J0706.8+7742,bll-bll,27.277,136.767,41.689,0.020,2.247,1.276,0.229,-0.244,0.004
4FGL J0706.9+6109,bll-fsrq,25.367,155.115,17.742,0.047,0.100,1.622,0.031,-0.129,0.004
4FGL J0708.6+1747,unid-bll,11.711,198.783,7.224,0.047,6.441,0.027,0.254,0.030,0.003
4FGL J0708.9+4839,rdg-bll,22.787,168.526,7.749,0.077,76.524,0.043,0.197,-0.154,0.006
4FGL J0709.0+4304,bcu-bll,21.177,174.289,4.121,0.049,0.100,0.010,-0.018,-0.005,0.006
4FGL J0709.1+2241,bll-bll,13.833,194.262,30.334,0.026,2.129,1.188,0.117,-0.179,0.001
4FGL J0709.1-1034,unid-pulsar,-0.915,224.348,9.410,0.120,0.478,2.822,0.489,1.058,0.752
4FGL J0709.2-1527,bll-bll,-3.149,228.693,13.369,0.049,44.769,0.423,0.144,0.668,0.012
4FGL J0709.3+0540,bcu-bll,6.563,209.895,9.959,0.065,1.059,0.141,0.113,0.272,0.001
4FGL J0709.7-3009,unid-bll,-9.646,241.973,9.705,0.053,15.375,0.047,0.139,0.156,0.005
4FGL J0709.7-0255,fsrq-fsrq,2.737,217.635,33.523,0.024,0.157,17.685,0.140,0.422,0.005
4FGL J0710.4+5908,bll-bll,25.425,157.408,29.127,0.017,73.350,1.171,0.145,-0.329,0.015
4FGL J0710.8-3851,fsrq-fsrq,-13.136,250.104,17.095,0.060,0.212,2.636,0.357,0.153,0.001
4FGL J0710.9+4733,bll-fsrq,22.799,169.773,12.902,0.080,0.114,1.305,0.299,-0.096,0.003
4FGL J0711.3-0942,unid-pulsar,-0.049,223.836,4.864,0.194,0.481,2.635,1.741,0.755,0.937
4FGL J0712.0-6431,unid-pulsar,-22.167,275.379,11.991,0.077,1.954,0.184,1.278,0.013,0.955
4FGL J0712.4+5724,bll-bll,25.352,159.339,5.378,0.151,24.773,0.015,0.327,-0.268,0.007
4FGL J0712.5+3311,bcu-bll,18.557,184.455,5.336,0.053,8.907,0.019,1.601,-0.218,0.004
4FGL J0712.7+5033,bll-fsrq,23.867,166.705,43.294,0.020,0.100,4.513,0.070,-0.172,0.006
4FGL J0712.8-5637,unid-fsrq,-19.581,267.394,6.863,0.259,0.463,0.176,0.729,0.008,0.006
4FGL J0713.0+5738,bcu-fsrq,25.467,159.110,9.072,0.049,0.116,0.609,0.192,-0.254,0.005
4FGL J0713.5+2537,bcu-bll,15.925,191.877,6.943,0.089,2.304,0.049,0.605,-0.088,0.004
4FGL J0713.5-2555,unid-bll,-7.031,238.518,6.505,0.083,0.100,1.479,0.033,0.512,0.002
4FGL J0713.8-4820,unid-bll,-16.442,259.330,5.060,0.161,0.301,0.058,0.260,-0.024,0.007
4FGL J0713.8+1935,fsrq-fsrq,13.578,197.637,39.272,0.029,0.220,13.079,0.233,-0.023,0.006
4FGL J0714.4+1110,bcu-bll,10.141,205.480,7.666,0.123,1.855,0.045,0.307,-0.092,0.002
4FGL J0715.3-6828,bcu-bll,-22.971,279.590,7.730,0.088,0.138,0.034,0.075,0.160,0.004
4FGL J0715.6-4528,bll-bll,-15.026,256.716,13.787,0.077,0.100,0.981,0.036,0.025,0.004
4FGL J0715.7-1128,unid-pulsar,0.082,225.897,7.449,0.278,0.362,4.319,0.925,0.839,0.652
4FGL J0716.0-0826,unid-pulsar,1.577,223.260,4.580,0.112,0.796,0.330,1.003,0.598,0.983
4FGL J0716.9-2219,unid-fsrq,-4.685,235.662,5.042,0.136,0.513,0.755,1.237,0.651,0.250
4FGL J0717.3+2437,unid-bll,16.330,193.192,4.207,0.059,1000.000,0.015,-0.003,-0.145,0.006
4FGL J0717.7-5519,bcu-bll,-18.480,266.349,9.181,0.049,6.760,0.058,0.433,0.039,0.002
4FGL J0718.0+4536,fsrq-fsrq,23.456,172.161,23.247,0.050,0.332,3.053,0.383,-0.140,0.003
4FGL J0718.2-1324,bcu-bll,-0.280,227.896,4.353,0.080,0.196,0.074,0.108,0.689,0.003
4FGL J0718.6-4319,bll-bll,-13.656,254.918,59.529,0.016,3.956,8.512,0.174,-0.039,0.014
4FGL J0718.8-5004,unid-pulsar,-16.353,261.323,11.782,0.064,1.011,0.269,0.720,0.038,0.966
4FGL J0718.8+4618,unid-bll,23.776,171.466,4.205,0.135,0.801,0.030,0.625,-0.069,0.009
4FGL J0719.1-7055,bll-bll,-23.323,282.245,9.103,0.084,3.453,0.031,0.367,0.144,0.002
4FGL J0719.3+3307,fsrq-fsrq,19.862,185.044,92.253,0.015,0.539,37.868,0.216,-0.197,0.008
4FGL J0719.6-3927,bcu-bll,-11.848,251.396,4.183,0.067,0.233,0.033,0.128,0.310,0.004
4FGL J0719.7-4012,bll-bll,-12.169,252.103,15.573,0.034,0.180,0.561,0.083,0.221,0.003
4FGL J0720.0-3507,bcu-fsrq,-9.892,247.463,7.448,0.069,0.100,0.592,0.108,0.331,0.006
4FGL J0720.0-6237,bcu-fsrq,-20.725,273.728,8.042,0.356,0.104,3.918,0.811,0.067,0.011
4FGL J0721.3-0222,bll-bll,5.549,218.466,7.374,0.065,147.254,0.054,0.047,0.137,0.007
4FGL J0721.3+0405,fsrq-fsrq,8.524,212.687,25.744,0.043,0.126,13.963,0.294,0.194,0.002
4FGL J0721.9+7120,bll-bll,28.022,143.985,318.785,0.008,0.932,1836.803,0.117,-0.385,0.008
4FGL J0722.4-2650,unid-pulsar,-5.668,240.256,11.022,0.068,1.312,0.519,0.760,0.486,1.000
4FGL J0722.7+3606,bcu-fsrq,21.505,182.273,6.861,0.139,0.146,0.188,0.284,-0.224,0.003
4FGL J0722.7-2309,unid-fsrq,-3.885,237.010,6.633,0.217,0.236,6.032,0.757,0.917,0.218
4FGL J0723.0-0732,bll-bll,3.514,223.258,15.244,0.055,0.100,0.761,-0.003,0.149,0.004
4FGL J0723.1-3048,unid-bll,-7.360,243.864,9.504,0.061,0.100,0.274,-0.030,0.249,0.009
4FGL J0723.4+5841,bll-bll,26.997,158.200,7.232,0.059,19.835,0.029,1.698,-0.263,0.004
4FGL J0723.5+2900,fsrq-fsrq,19.256,189.468,6.255,0.139,0.145,0.192,0.342,-0.229,0.003
4FGL J0723.7+2050,bll-bll,16.215,197.432,14.697,0.046,1000.000,0.570,-0.005,-0.164,0.006
4FGL J0724.5+7015,unid-bll,28.193,145.227,7.881,0.079,0.100,0.146,0.063,-0.377,0.006
4FGL J0724.8+3016,unid-bll,19.963,188.320,4.585,0.278,1000.000,0.676,-0.073,-0.202,0.006
4FGL J0725.2+1425,fsrq-fsrq,13.912,203.645,75.831,0.014,0.175,74.716,0.154,-0.041,0.006
4FGL J0725.3-2550,unid-pulsar,-4.631,239.671,5.213,0.311,0.291,4.488,1.259,0.848,0.591
4FGL J0725.5+0216,bcu-bll,8.628,214.802,18.582,0.034,2.747,0.371,0.215,0.131,0.004
4FGL J0725.5-0504,bcu-bll,5.232,221.369,7.047,0.037,1000.000,0.091,-0.045,0.305,0.005
4FGL J0725.6-5008,unid-bll,-15.376,261.836,8.984,0.044,10.408,0.121,1.931,0.124,0.010
4FGL J0725.6-3530,bcu-bll,-9.030,248.331,7.357,0.059,0.100,0.029,0.001,0.426,0.005
4FGL J0725.7-0549,unid-bll,4.934,222.056,13.529,0.045,9.638,0.213,0.262,0.230,0.004
4FGL J0725.8-0054,bcu-fsrq,7.236,217.699,27.766,0.038,0.100,2.071,-0.029,-0.048,0.004
4FGL J0726.4-4727,fsrq-fsrq,-14.146,259.370,20.650,0.037,0.157,6.882,0.246,0.167,0.002
4FGL J0727.1+3734,bll-bll,22.793,181.071,4.872,0.073,15.109,0.034,1.998,-0.248,0.002
4FGL J0727.3+2152,unid-fsrq,17.378,196.779,6.016,0.231,0.503,0.147,1.309,-0.215,0.007
4FGL J0727.4+5325,bcu-bll,26.696,164.129,6.672,0.193,0.100,0.234,0.239,-0.213,0.009
4FGL J0728.2+4827,bll-bll,25.822,169.588,9.089,0.107,0.100,0.333,-0.007,-0.041,0.006
4FGL J0728.5+6128,bcu-fsrq,27.982,155.181,9.840,0.154,0.320,0.258,0.585,-0.239,0.023
4FGL J0729.1-3131,bcu-bll,-6.559,245.105,7.571,0.092,0.556,0.144,0.180,0.432,0.005
4FGL J0729.1+5703,fsrq-bll,27.512,160.152,6.627,0.198,0.100,0.136,0.119,-0.189,0.006
4FGL J0729.3-1445,psr,1.467,230.359,8.506,0.142,0.387,1.730,0.543,0.734,0.383
4FGL J0730.1+6852,bcu-bll,28.633,146.804,8.021,0.093,1.559,0.034,1.245,-0.306,0.007
4FGL J0730.3-1141,fsrq-fsrq,3.138,227.769,134.918,0.012,0.214,1086.372,0.185,0.406,0.008
4FGL J0730.4+3308,bll-bll,22.064,185.865,15.723,0.036,5.892,0.194,0.309,-0.208,0.006
4FGL J0730.5-0535,bll-bll,6.086,222.405,28.019,0.027,0.615,1.802,0.157,0.134,0.001
4FGL J0730.5-1831,unid-bll,-0.088,233.796,4.615,0.118,0.100,0.724,0.021,1.087,0.004
4FGL J0730.5+6720,unid-fsrq,28.623,148.550,15.151,0.081,0.100,3.837,0.134,-0.311,0.002
4FGL J0730.7-6602,bll-bll,-20.793,277.598,15.766,0.034,47.876,0.280,0.155,0.150,0.012
4FGL J0731.0+6607,unid-bll,28.619,149.943,7.444,0.083,1.162,0.031,0.402,-0.227,0.005
