4FGL-v30,source_type,glat,glon,variability,significance,class1,association,flags,r95,trainer,Ep,Fp,d,diffuse,Ep_unc,d_unc,p_pulsar
4FGL J0336.8-3612,fsrq-fsrq,-53.935,238.024,16.158,11.306,fsrq,fsrq,{},0.121,fsrq,0.100,3.651,0.053,,,0.115,0.000
4FGL J0337.5+2423,unID-bll,-24.742,164.612,13.334,7.057,,unID,{6},0.081,,0.100,0.420,0.121,,0.180,0.155,0.000
4FGL J0337.8-1157,fsrq-fsrq,-48.196,200.009,10.534,4.813,fsrq,fsrq,{},0.099,fsrq,0.123,0.085,0.198,,0.474,0.272,0.030
4FGL J0337.9+4058,unID-bll,-11.721,153.741,8.773,4.877,,unID,{},0.086,,3.242,0.024,0.390,,2.391,0.342,0.000
4FGL J0338.1-2443,bll-bll,-52.614,218.868,12.527,5.884,bll,bll,{},0.069,bll,34.677,0.044,1.017,,18.428,0.879,0.000
4FGL J0338.5+1302,bll-bll,-32.935,173.585,62.676,39.112,bll,bll,{},0.018,bll,14.306,9.826,0.324,,2.863,0.061,0.010
4FGL J0338.7-5319,unID-bll,-49.626,265.002,8.318,4.796,bcu,unID,{},0.108,,9.337,0.008,0.590,,5.828,0.643,0.000
4FGL J0338.7-5706,bll-bll,-47.986,270.164,15.361,4.424,bll,bll,{},0.039,bll,1000.000,0.089,-0.028,,,0.189,0.000
4FGL J0338.9-2848,unID-bll,-53.159,225.580,38.250,21.332,bcu,unID,{},0.031,,1000.000,1.106,-0.050,,,0.053,0.000
4FGL J0339.2-1736,bll-bll,-50.244,208.076,19.533,24.919,bll,bll,{},0.030,bll,17.937,0.680,0.064,,25.589,0.053,0.000
4FGL J0339.5-0146,fsrq-fsrq,-42.456,188.000,2051.417,99.115,fsrq,fsrq,{},0.015,fsrq,0.127,263.570,0.168,,0.030,0.019,0.000
4FGL J0340.3+4130,msp,-11.024,153.787,6.912,57.748,MSP,msp,{},0.017,pulsar,2.397,27.874,0.832,,0.118,0.076,0.990
4FGL J0340.4+5302,unID-pulsar,-1.822,146.792,12.845,31.023,,unID,{},0.064,,0.226,661.578,1.497,,0.019,0.158,0.770
4FGL J0340.4-2422,fsrq-fsrq,-52.009,218.516,9.055,8.434,fsrq,fsrq,{},0.063,fsrq,3.839,0.042,1.173,,0.901,0.579,0.020
4FGL J0340.5-2118,bll-bll,-51.178,213.779,80.148,36.676,bll,bll,{},0.033,bll,0.215,2.696,0.110,,0.196,0.047,0.000
4FGL J0340.5-0256,unID-bll,-42.911,189.495,9.082,9.176,bcu,unID,{},0.059,,2.005,0.077,0.515,,0.804,0.301,0.080
4FGL J0341.9+3153,unID-pulsar,-18.364,160.219,9.628,6.962,,unID,"{2,5,6}",0.123,,1.424,0.836,1.105,,0.545,0.688,0.990
4FGL J0342.2+3858,fsrq-fsrq,-12.799,155.668,96.354,9.302,fsrq,fsrq,{},0.045,fsrq,0.100,0.965,-0.029,,,0.105,0.000
4FGL J0342.4+3125,unID-fsrq,-18.663,160.617,6.233,5.547,,unID,"{1,5,6}",0.061,,0.175,1.675,0.336,,0.204,0.207,0.110
4FGL J0342.8-3007,unID-bll,-52.487,227.930,11.888,6.503,bcu,unID,{},0.064,,2.633,0.019,1.121,,0.782,0.654,0.080
4FGL J0343.2-2529,fsrq-fsrq,-51.649,220.510,233.561,17.303,fsrq,fsrq,{},0.065,fsrq,0.100,1.698,0.235,,0.114,0.121,0.000
4FGL J0343.2+1400,unID-bll,-31.440,173.729,9.790,4.658,,unID,{},0.133,,1.999,0.015,0.011,,43.915,0.150,0.000
4FGL J0343.2-6444,bll-bll,-43.659,279.227,94.406,27.789,bll,bll,{},0.025,bll,0.364,0.812,0.083,,0.466,0.053,0.000
4FGL J0343.3-6303,unID-bll,-44.547,277.240,14.598,13.017,,unID,{},0.050,,0.100,0.118,0.042,,0.383,0.089,0.000
4FGL J0343.4+3621,fsrq-fsrq,-14.701,157.541,9.673,11.444,fsrq,fsrq,{},0.053,fsrq,0.875,0.503,0.415,,0.463,0.211,0.140
4FGL J0344.2+3203,unID-pulsar,-17.923,160.515,6.417,7.919,bcu,unID,"{2,5,6}",0.230,,0.431,4.326,0.802,,0.168,0.337,0.690
4FGL J0344.4+3432,unID-bll,-15.977,158.888,10.775,7.280,bcu,unID,{},0.046,,1000.000,0.284,-0.026,,,0.129,0.000
4FGL J0345.2-2353,bll-bll,-50.834,218.176,44.603,30.498,bll,bll,{},0.036,bll,0.100,7.325,0.137,,0.054,0.061,0.000
4FGL J0345.5-3301,unID-bll,-52.149,232.724,10.836,5.902,bcu,unID,{},0.134,,0.100,0.019,0.037,,0.725,0.202,0.000
4FGL J0346.1+0342,unID-bll,-37.801,183.633,6.710,4.483,,unID,{},0.053,,7.499,0.015,0.257,,7.709,0.328,0.000
4FGL J0346.2+3235,unID-fsrq,-17.247,160.496,13.548,6.487,,unID,"{5,6}",0.078,,0.184,2.986,0.488,,0.158,0.296,0.160
4FGL J0347.0+4844,fsrq-fsrq,-4.601,150.237,27.000,5.346,fsrq,fsrq,{4},0.101,fsrq,0.118,1.150,0.289,,0.235,0.237,0.010
4FGL J0347.0-6400,unID-pulsar,-43.704,278.070,12.466,7.309,,unID,{12},0.088,,1.962,0.050,1.976,,,,0.490
4FGL J0347.5+0722,unID-bll,-35.163,180.416,9.135,5.937,,unID,{},0.051,,6.124,0.034,0.716,,2.590,0.432,0.000
4FGL J0347.6-0133,unID-bll,-40.682,189.335,9.224,4.810,bcu,unID,{},0.076,,10.435,0.046,1.781,,3.265,1.351,0.020
4FGL J0347.7-3616,unID-fsrq,-51.734,238.023,118.452,13.375,bcu,unID,{},0.110,,0.100,0.302,0.025,,,0.100,0.000
4FGL J0348.2+6035,unID-bll,4.812,143.023,6.722,9.912,bcu,unID,{},0.038,,23.096,0.174,0.356,,12.366,0.270,0.010
4FGL J0348.6-1609,bll-bll,-47.628,207.338,31.886,22.479,bll,bll,{},0.042,bll,0.107,1.783,0.143,,0.144,0.076,0.000
4FGL J0348.6-2749,fsrq-fsrq,-50.914,224.527,19059.176,193.130,fsrq,fsrq,{},0.009,fsrq,0.719,881.906,0.148,,0.044,0.009,0.000
4FGL J0348.8-0828,unID-bll,-44.159,197.467,10.483,5.238,bcu,unID,{},0.128,,0.100,0.220,-0.004,,,0.155,0.000
4FGL J0348.8+4610,unID-fsrq,-6.415,152.091,19.050,6.506,bcu,unID,{},0.154,,0.423,1.058,1.131,,0.153,0.555,0.400
4FGL J0348.9-4859,unID-bll,-49.596,257.869,17.173,7.703,bcu,unID,{},0.135,,0.100,0.218,-0.073,,,0.106,0.000
4FGL J0349.4-1159,bll-bll,-45.704,201.935,22.979,17.681,bll,bll,{},0.032,bll,1000.000,0.864,0.008,,,0.072,0.000
4FGL J0349.6+4026,unID-pulsar,-10.776,155.854,7.738,7.078,,unID,{},0.082,,1.035,0.247,0.786,,0.357,0.338,0.620
4FGL J0349.6+2410,unID-fsrq,-23.061,167.019,28.738,5.364,bcu,unID,{},0.230,,0.448,0.323,1.449,,0.131,0.713,0.020
4FGL J0349.8-2103,fsrq-fsrq,-49.035,214.404,428.025,36.055,fsrq,fsrq,{},0.033,fsrq,0.100,15.150,0.251,,0.048,0.058,0.000
4FGL J0350.0+0640,unID-bll,-35.163,181.553,12.955,5.886,bcu,unID,{},0.044,,113.866,0.107,0.400,,168.471,0.419,0.000
4FGL J0350.4-5144,unID-bll,-48.538,261.754,12.361,11.087,bcu,unID,{},0.044,,16.743,0.026,0.068,,43.113,0.121,0.000
4FGL J0350.6-3226,unID-fsrq,-51.038,231.907,93.690,7.282,bcu,unID,{},0.110,,0.100,0.063,0.115,,0.502,0.224,0.000
4FGL J0350.8-2814,bll-bll,-50.500,225.321,12.496,7.660,bll,bll,{},0.041,bll,41.350,0.056,0.223,,66.430,0.254,0.000
4FGL J0352.0-2516,unID-bll,-49.670,220.848,15.923,4.504,bcu,unID,{},0.094,,0.100,0.151,-0.036,,,0.191,0.000
4FGL J0352.0-3702,bll-bll,-50.868,239.223,12.671,4.971,bll,bll,{},0.061,bll,10.918,0.015,1.350,,4.217,0.836,0.000
4FGL J0352.9-3623,bll-bll,-50.698,238.179,13.524,11.308,bll,bll,{},0.050,bll,21.759,0.114,0.473,,10.764,0.206,0.000
4FGL J0353.0+5654,bll-bll,2.340,145.838,38.450,11.404,bll,bll,{},0.049,bll,2.476,0.225,0.197,,1.768,0.136,0.000
4FGL J0353.0-6831,bll-bll,-40.770,282.797,8.973,15.792,bll,bll,{},0.026,bll,1000.000,1.099,0.045,,176849.484,0.084,0.000
4FGL J0353.7+8257,bll-bll,22.099,128.353,13.820,9.198,bll,bll,{},0.044,bll,1000.000,0.129,0.025,,4615593.000,0.110,0.000
4FGL J0354.4+4643,unID-fsrq,-5.380,152.484,97.188,13.623,bcu,unID,{},0.042,,0.102,5.790,0.240,,0.113,0.105,0.000
4FGL J0354.7-1617,fsrq-fsrq,-46.324,208.327,56.495,6.933,fsrq,fsrq,{},0.208,fsrq,0.100,0.535,0.054,,,0.166,0.000
4FGL J0354.7+8009,bll-bll,20.082,130.428,276.899,13.116,bll,bll,{},0.039,bll,1.301,0.101,0.334,,0.621,0.170,0.000
4FGL J0355.1-1841,bll-bll,-47.108,211.648,6.431,6.945,bll,bll,{},0.057,bll,4.579,0.015,0.226,,3.875,0.273,0.000
4FGL J0355.3+3909,unID-bll,-11.044,157.542,2.743,5.172,bcu,unID,{},0.036,,69.056,0.025,0.142,,196.061,0.228,0.010
4FGL J0356.1-1329,unID-bll,-44.883,204.859,16.990,7.243,bcu,unID,{},0.057,,7.938,0.019,0.420,,4.642,0.461,0.000
4FGL J0356.9+3013,unID-fsrq,-17.523,163.915,2.375,4.853,,unID,{6},0.115,,0.170,0.302,0.296,,0.275,0.227,0.120
4FGL J0357.0-4955,bll-bll,-48.075,258.692,26.938,23.231,bll,bll,{},0.037,bll,1.329,0.272,0.195,,0.557,0.084,0.000
4FGL J0357.2+2320,unID-bll,-22.480,168.991,18.028,7.203,bcu,unID,{},0.072,,0.100,0.238,0.067,,0.131,0.132,0.000
4FGL J0357.2-0319,unID-bll,-39.675,193.032,11.286,8.629,bcu,unID,{},0.058,,19.382,0.098,0.337,,13.674,0.191,0.000
4FGL J0357.6-4625,bll-bll,-48.784,253.500,24.456,10.120,bll,bll,{},0.068,bll,0.100,0.103,0.108,,0.276,0.132,0.000
4FGL J0357.7-6808,unID-bll,-40.618,282.054,15.549,5.557,,unID,{},0.048,,15.764,0.013,0.429,,11.718,0.393,0.000
4FGL J0357.8+3204,psr,-16.016,162.760,18.324,77.159,PSR,psr,{},0.015,pulsar,0.820,627.167,1.385,,0.024,0.068,1.000
4FGL J0358.0-6946,unID-bll,-39.718,283.859,7.304,5.170,bcu,unID,{5},0.138,,2.203,0.028,1.585,,0.581,0.845,0.180
4FGL J0358.1+2850,unID-fsrq,-18.357,165.098,5.535,5.453,,unID,"{2,12}",0.220,,0.659,0.284,1.948,,,,0.360
4FGL J0358.1-5954,bll-bll,-44.481,272.184,12.861,9.952,bll,bll,{},0.093,bll,0.500,0.043,0.168,,0.872,0.177,0.000
4FGL J0358.5-5432,nov-fsrq,-46.472,265.067,114.418,6.431,NOV,nov,{5},0.177,,0.996,0.049,1.476,,0.300,1.028,0.090
4FGL J0358.6+0634,unID-fsrq,-33.569,183.299,69.092,6.685,bcu,unID,{},0.138,,0.276,0.419,0.462,,0.215,0.251,0.000
4FGL J0358.7+7649,unID-bll,17.773,132.977,5.357,9.240,bcu,unID,{},0.068,,0.136,0.065,0.070,,1.512,0.226,0.000
4FGL J0358.7-7403,unID-bll,-37.277,288.347,12.610,6.152,,unID,{},0.079,,0.100,0.207,0.048,,0.007,0.164,0.000
4FGL J0358.9+6004,fsrq-fsrq,5.261,144.377,131.660,8.341,fsrq,fsrq,{},0.094,fsrq,0.143,1.627,0.297,,0.166,0.167,0.000
4FGL J0359.0-3053,bll-bll,-49.099,229.764,16.963,12.426,bll,bll,{},0.057,bll,9.000,0.074,0.322,,4.195,0.172,0.000
4FGL J0359.3+3626,unID-pulsar,-12.574,159.985,5.795,6.600,,unID,{1},0.174,,0.573,0.520,1.290,,0.178,0.557,0.620
4FGL J0359.4-0236,unID-bll,-38.838,192.627,11.566,5.838,bcu,unID,{},0.058,,12.747,0.037,0.470,,9.134,0.374,0.000
4FGL J0359.4+5414,psr,0.885,148.234,3.155,33.134,PSR,psr,{},0.032,pulsar,1.180,32.029,0.945,,0.101,0.117,1.000
4FGL J0359.4-2616,bll-bll,-48.244,222.890,17.909,8.921,bll,bll,{},0.055,bll,1.115,0.040,0.216,,1.484,0.214,0.000
4FGL J0359.6+5057,fsrq-fsrq,-1.590,150.400,948.995,32.235,fsrq,fsrq,{},0.042,fsrq,0.100,209.124,0.290,,0.040,0.053,0.000
4FGL J0359.6+3213,fsrq-fsrq,-15.646,162.956,17.510,4.871,fsrq,fsrq,{5},0.140,fsrq,0.364,1.686,0.722,,0.190,0.269,0.110
4FGL J0359.7+4445,unID-bll,-6.272,154.480,12.397,6.238,unk,unID,{},0.074,,0.100,0.808,-0.094,,,0.082,0.000
4FGL J0400.7+3920,unID-bll,-10.218,158.222,13.574,7.309,bcu,unID,{},0.058,,2.563,0.165,0.586,,1.074,0.407,0.150
4FGL J0401.0-5353,unID-bll,-46.331,264.017,9.464,8.267,bcu,unID,{},0.054,,78.284,0.041,0.211,,142.689,0.210,0.000
4FGL J0401.2+8153,bll-bll,21.501,129.348,17.802,4.704,bll,bll,{},0.066,bll,9.887,0.010,0.606,,5.273,0.524,0.000
4FGL J0401.3+0412,unID-fsrq,-34.499,186.044,11.838,7.036,bcu,unID,{},0.080,,0.144,0.413,0.215,,0.264,0.166,0.090
4FGL J0401.7+2112,fsrq-fsrq,-23.248,171.453,161.288,19.746,fsrq,fsrq,{},0.042,fsrq,0.132,3.836,0.185,,0.128,0.078,0.000
4FGL J0401.9-2034,unID-fsrq,-46.205,215.015,330.330,32.310,bcu,unID,{},0.040,,0.424,2.133,0.215,,0.168,0.062,0.020
4FGL J0402.0-2616,bll-bll,-47.684,223.071,35.754,18.537,bll,bll,{},0.047,bll,1.867,0.366,0.367,,0.497,0.124,0.000
4FGL J0402.0+2737,unID-bll,-18.651,166.652,45.733,7.238,bcu,unID,{},0.073,,0.100,0.474,0.045,,,0.118,0.000
4FGL J0402.1-3147,fsrq-fsrq,-48.542,231.242,16.741,13.959,fsrq,fsrq,{},0.076,fsrq,0.100,1.052,-0.001,,,0.087,0.000
4FGL J0402.8-2747,unID-fsrq,-47.801,225.329,35.946,5.835,,unID,{},0.148,,0.100,0.592,0.110,,0.015,0.239,0.000
4FGL J0402.9+6433,unID-bll,8.931,141.754,10.597,6.525,bcu,unID,{},0.037,,0.559,0.020,0.023,,12.891,0.163,0.010
4FGL J0403.3+2601,fsrq-fsrq,-19.593,168.056,15.852,5.786,fsrq,fsrq,{2},0.129,fsrq,0.369,0.274,0.678,,0.187,0.328,0.020
4FGL J0403.5-2437,bll-bll,-46.963,220.811,22.101,10.145,bll,bll,{2},0.127,bll,0.100,0.773,0.042,,,0.136,0.000
4FGL J0403.9-3605,fsrq-fsrq,-48.483,237.748,6801.102,143.040,FSRQ,fsrq,{},0.014,fsrq,0.100,875.783,0.282,,0.012,0.020,0.000
4FGL J0404.1-1715,unID-bll,-44.580,210.819,8.538,6.308,bcu,unID,{},0.072,,4.866,0.010,0.115,,7.489,0.192,0.000
4FGL J0404.3-1559,unID-bll,-44.083,209.201,20.396,4.818,bcu,unID,{},0.086,,1.115,0.013,0.440,,1.089,0.427,0.010
4FGL J0405.4-6929,unID-bll,-39.322,283.099,32.583,8.154,,unID,{},0.073,,0.100,0.401,0.081,,0.036,0.122,0.000
4FGL J0405.6-1308,fsrq-fsrq,-42.632,205.787,86.410,24.516,fsrq,fsrq,{},0.039,fsrq,0.100,15.711,0.037,,,0.055,0.000
4FGL J0406.0-5407,bll-bll,-45.567,263.999,18.316,9.438,bll,bll,{},0.091,bll,0.138,0.051,0.087,,0.772,0.154,0.000
4FGL J0406.2+0639,unID-bll,-32.053,184.612,17.603,4.217,,unID,{},0.059,,0.100,0.093,0.017,,,0.154,0.000
4FGL J0407.0-3826,fsrq-fsrq,-47.877,241.284,769.269,54.286,fsrq,fsrq,{},0.022,fsrq,0.182,37.766,0.216,,0.051,0.034,0.000
4FGL J0407.5+0741,bll-bll,-31.141,183.889,37.076,19.513,bll,bll,{},0.044,bll,0.100,3.165,0.104,,0.146,0.065,0.000
4FGL J0407.7-5702,lmb-bll,-44.412,267.797,11.443,6.196,lmb,lmb,{},0.072,,0.100,0.547,-0.100,,,0.092,0.000
4FGL J0408.8+0508,unID-fsrq,-32.447,186.510,6.854,4.129,,unID,{},0.168,,0.103,0.481,0.294,,0.200,0.270,0.160
4FGL J0409.2+2542,unID-bll,-18.877,169.287,9.042,7.392,,unID,{},0.056,,3.770,0.045,0.172,,3.746,0.173,0.000
4FGL J0409.4-3822,unID-bll,-47.413,241.173,10.145,7.810,,unID,{},0.053,,8.288,0.036,0.808,,2.846,0.433,0.010
4FGL J0409.4+3201,unID-bll,-14.366,164.654,7.219,10.188,bcu,unID,{},0.039,,0.100,0.123,-0.022,,,0.084,0.000
4FGL J0409.7+4006,unID-pulsar,-8.489,158.995,13.232,7.267,,unID,{6},0.186,,0.524,2.031,1.375,,0.127,0.531,0.890
4FGL J0409.8-0359,bll-bll,-37.379,195.887,43.171,19.784,bll,bll,{},0.040,bll,2.645,0.595,0.537,,0.481,0.171,0.050
4FGL J0410.9+4216,unID-bll,-6.754,157.663,57.635,16.293,bcu,unID,{},0.033,,1.202,0.739,0.214,,0.720,0.101,0.000
4FGL J0411.7+3041,unID-pulsar,-14.976,165.997,5.537,4.884,bcu,unID,{},0.091,,0.946,0.176,1.439,,0.269,0.677,0.580
4FGL J0412.3+0239,unID-bll,-33.197,189.520,15.597,9.670,bcu,unID,{},0.091,,0.100,0.457,0.095,,0.277,0.115,0.000
4FGL J0412.5+6519,unID-pulsar,10.194,141.966,7.568,5.455,,unID,{6},0.147,,0.424,1.629,1.902,,0.100,0.754,0.510
4FGL J0412.6-5434,unID-bll,-44.518,264.216,9.223,4.855,bcu,unID,{},0.054,,7.006,0.008,0.704,,3.336,0.568,0.000
4FGL J0412.6+2253,unID-pulsar,-20.267,172.002,5.165,4.958,,unID,{6},0.135,,0.362,0.659,1.325,,0.123,0.680,0.540
4FGL J0412.7-3927,unID-bll,-46.757,242.774,10.753,4.585,bcu,unID,{},0.059,,991.374,0.016,0.060,,16652.572,0.225,0.000
4FGL J0413.1-5332,fsrq-fsrq,-44.725,262.803,164.710,10.413,fsrq,fsrq,{5},0.050,fsrq,0.100,0.869,0.049,,0.007,0.083,0.000
4FGL J0413.1-0304,unID-fsrq,-36.192,195.465,17.022,8.639,,unID,{},0.115,,0.100,0.975,0.144,,0.102,0.175,0.000
4FGL J0413.4-8609,unID-fsrq,-29.533,299.521,9.079,7.889,,unID,{},0.123,,1.261,0.080,0.730,,0.569,0.458,0.360
4FGL J0414.3+4522,unID-bll,-4.084,155.980,10.019,4.703,,unID,{},0.098,,0.100,0.059,-0.038,,,0.135,0.000
4FGL J0414.6-0842,unID-bll,-38.685,201.839,22.089,4.587,bcu,unID,{},0.089,,0.100,0.044,-0.050,,,0.142,0.000
4FGL J0414.6+5711,unID-bll,4.502,147.848,12.097,8.641,,unID,{},0.048,,6.249,0.077,0.129,,7.200,0.147,0.000
4FGL J0414.7-4300,unID-pulsar,-46.221,247.902,5.895,17.621,,unID,{},0.073,,1.010,0.625,1.954,,0.087,0.350,0.930
4FGL J0414.8-5338,bll-bll,-44.451,262.846,10.197,10.885,bll,bll,{},0.048,bll,24.438,0.095,0.317,,18.543,0.210,0.000
4FGL J0415.2-5741,unID-bll,-43.245,268.197,9.439,4.093,bcu,unID,{},0.069,,48.420,0.027,1.691,,24.798,1.215,0.010
4FGL J0416.0-6628,bll-bll,-39.857,279.039,13.968,6.908,bll,bll,{},0.066,bll,0.100,0.146,-0.091,,,0.104,0.000
4FGL J0416.2-4353,fsrq-fsrq,-45.882,249.130,48.706,7.311,fsrq,fsrq,{},0.128,fsrq,0.100,0.743,0.037,,,0.138,0.000
4FGL J0416.4-2059,unID-bll,-43.100,217.043,7.463,4.256,bcu,unID,{},0.172,,0.100,0.159,-0.001,,,0.179,0.000
4FGL J0416.5-1852,fsrq-fsrq,-42.399,214.327,183.624,24.520,fsrq,fsrq,{},0.031,fsrq,0.100,3.295,0.089,,0.045,0.062,0.000
4FGL J0416.9+0105,bll-bll,-33.153,191.822,26.492,21.428,bll,bll,{},0.023,bll,1000.000,7.016,-0.049,,,0.049,0.000
4FGL J0418.0+6302,unID-pulsar,8.978,144.031,6.968,4.717,,unID,"{3,4,5}",0.105,,0.416,0.592,1.078,,0.164,0.505,0.480
4FGL J0418.1-0252,unID-bll,-35.039,196.054,332.472,28.665,bcu,unID,{2},0.041,,1.166,1.703,0.340,,0.289,0.097,0.040
4FGL J0418.2+3807,rdg-fsrq,-8.766,161.593,40.574,13.143,rdg,rdg,{},0.140,,0.143,18.449,0.453,,0.070,0.135,0.230
4FGL J0418.4+3414,unID-bll,-11.480,164.415,4.426,5.535,bcu,unID,{},0.113,,0.123,0.225,0.182,,0.344,0.182,0.100
4FGL J0418.4-4342,unID-bll,-45.499,248.840,17.495,4.386,,unID,{},0.046,,47.851,0.009,0.339,,77.270,0.647,0.000
4FGL J0418.9+6636,msp,11.550,141.525,8.747,32.805,MSP,msp,{},0.024,pulsar,1.544,4.771,0.651,,0.178,0.106,1.000
4FGL J0420.2+4012,bll-bll,-7.028,160.380,15.838,9.493,bll,bll,{},0.041,bll,20.877,0.181,0.246,,17.357,0.193,0.000
4FGL J0420.3-6016,bll-bll,-41.787,271.219,18.761,11.211,bll,bll,{},0.061,bll,0.100,0.091,-0.047,,,0.090,0.000
4FGL J0420.3-3745,unID-bll,-45.246,240.339,107.877,35.872,bcu,unID,{},0.027,,0.498,2.210,0.142,,0.350,0.060,0.000
4FGL J0420.3-0407,unID-bll,-35.192,197.708,14.128,4.139,,unID,{},0.195,,0.100,0.133,0.065,,0.021,0.191,0.000
4FGL J0420.6-4802,unID-bll,-44.656,254.883,16.530,4.591,,unID,{},0.105,,7.979,0.013,1.864,,2.429,0.853,0.010
4FGL J0421.0-0752,unID-bll,-36.901,201.857,3.014,6.402,bcu,unID,{},0.114,,0.100,0.577,0.083,,0.029,0.168,0.000
4FGL J0422.1-0644,fsrq-fsrq,-36.116,200.776,495.070,35.937,fsrq,fsrq,{},0.039,fsrq,0.100,19.431,0.219,,0.054,0.055,0.000
4FGL J0422.3+1951,bll-bll,-20.610,176.024,19.884,10.916,bll,bll,{},0.071,bll,9.294,0.188,0.120,,8.955,0.118,0.000
4FGL J0422.8+0225,fsrq-fsrq,-31.182,191.481,23.640,7.637,fsrq,fsrq,{},0.183,fsrq,0.216,1.743,0.918,,0.110,0.413,0.030
4FGL J0423.0-0943,unID-pulsar,-37.317,204.188,15.212,10.710,,unID,{},0.072,,1.574,0.170,0.867,,0.396,0.373,0.490
4FGL J0423.1+2106,unID-bll,-19.656,175.148,6.501,11.872,bcu,unID,{},0.050,,0.180,0.973,0.147,,0.293,0.097,0.030
4FGL J0423.1-1408,unID-bll,-39.165,209.310,7.486,4.301,,unID,{},0.077,,35.712,0.032,1.142,,20.053,1.334,0.000
4FGL J0423.3-0120,fsrq-fsrq,-33.127,195.288,1299.826,67.061,FSRQ,fsrq,{},0.016,fsrq,0.160,67.243,0.184,,0.055,0.031,0.000
4FGL J0423.7+0831,unID-bll,-27.465,185.923,17.446,4.309,bcu,unID,{},0.050,,19.758,0.016,0.734,,13.461,1.116,0.000
4FGL J0423.9+4150,bll-bll,-5.385,159.703,10.036,54.379,bll,bll,{},0.013,bll,5.834,17.741,0.181,,1.014,0.036,0.010
4FGL J0424.7+0036,bll-bll,-31.777,193.585,61.644,40.444,bll,bll,{},0.021,bll,0.387,5.732,0.119,,0.279,0.046,0.000
4FGL J0424.8+3117,unID-bll,-12.545,167.552,7.286,4.301,,unID,{9},0.432,,0.202,0.214,0.281,,0.280,0.219,0.020
4FGL J0424.9-5331,bll-bll,-43.014,262.193,108.296,30.747,bll,bll,{},0.032,bll,0.680,0.995,0.303,,0.190,0.083,0.010
4FGL J0425.1-2920,unID-bll,-43.284,228.833,22.194,4.056,,unID,{},0.129,,1.022,0.012,0.508,,1.047,0.758,0.030
4FGL J0425.3+6319,unID-bll,9.769,144.405,15.263,16.546,bcu,unID,{},0.026,,41.478,0.538,0.206,,32.838,0.137,0.000
4FGL J0425.6+5522,snr-bll,4.292,150.220,14.785,27.394,SNR,snr,{3},0.000,,350.618,339.657,0.093,,371.622,0.031,0.120
4FGL J0426.5+5434,unID-pulsar,3.820,150.880,12.932,28.199,,unID,{},0.046,,0.461,68.104,1.044,,0.045,0.127,0.970
4FGL J0426.5+2007,unID-pulsar,-19.682,176.491,4.390,4.964,bcu,unID,{9},0.467,,0.790,0.406,1.891,,0.210,0.866,0.690
4FGL J0426.7+6826,unID-bll,13.364,140.674,22.373,18.422,bcu,unID,{},0.026,,0.211,0.660,0.099,,0.377,0.068,0.000
4FGL J0427.3-3900,unID-bll,-43.934,242.173,113.497,21.028,bcu,unID,{},0.045,,0.100,66.202,0.045,,,0.058,0.000
4FGL J0427.3+0504,unID-fsrq,-28.755,189.689,199.456,16.528,,unID,{2},0.193,,0.100,17.789,0.374,,0.080,0.151,0.000
4FGL J0427.4+6433,unID-fsrq,10.784,143.655,18.649,4.108,,unID,"{4,6}",0.230,,0.279,0.617,0.820,,0.150,0.426,0.080
4FGL J0427.8-6704,lmb-bll,-38.552,279.144,12.558,28.228,LMB,lmb,{},0.034,,0.100,4.624,0.046,,0.004,0.053,0.020
4FGL J0427.9+3632,unID-pulsar,-8.491,164.100,10.872,6.639,,unID,{6},0.234,,0.408,3.156,1.324,,0.125,0.645,0.620
4FGL J0428.6-3756,bll-bll,-43.615,240.710,4816.066,256.684,bll,bll,{},0.008,bll,0.825,1631.656,0.162,,0.052,0.010,0.000
4FGL J0428.7-5003,unID-fsrq,-43.059,257.392,9.380,4.428,bcu,unID,{},0.143,,0.415,0.015,0.299,,0.645,0.285,0.060
4FGL J0429.3-3238,bll-bll,-42.958,233.473,7.642,7.041,bll,bll,{},0.110,bll,5.785,0.016,0.176,,5.840,0.212,0.000
4FGL J0429.3-4326,fsrq-fsrq,-43.547,248.312,20.035,6.884,fsrq,fsrq,{},0.086,fsrq,0.100,0.172,-0.000,,,0.156,0.000
4FGL J0429.8+2843,unID-bll,-13.476,170.246,11.119,18.792,bcu,unID,{},0.036,,2.410,1.178,0.229,,0.980,0.092,0.070
4FGL J0429.9-3101,bll-bll,-42.577,231.326,17.899,19.335,bll,bll,{},0.038,bll,9.960,0.186,0.131,,7.749,0.090,0.000
4FGL J0430.3-2507,bll-bll,-41.229,223.619,15.905,14.463,bll,bll,{},0.032,bll,1.703,0.108,0.178,,1.163,0.118,0.000
4FGL J0430.3+1654,unID-fsrq,-21.042,179.752,27.805,12.805,bcu,unID,{},0.044,,0.100,1.695,0.094,,0.189,0.090,0.000
4FGL J0431.0+3529,unID-pulsar,-8.733,165.306,10.404,4.531,,unID,"{3,4,6}",0.126,,0.650,0.723,1.569,,0.208,0.720,0.920
4FGL J0431.1+4433,unID-bll,-2.545,158.643,7.198,4.872,,unID,{3},0.038,,29.213,0.066,1.718,,11.607,1.212,0.020
4FGL J0431.8+7403,bll-bll,17.369,136.585,32.753,20.003,bll,bll,{},0.026,bll,9.653,0.241,0.166,,5.031,0.095,0.000
