4FGL-DR4,source_type,glat,glon,variability,significance,class1,assoc_prob,association,flags,r95,trainer,Ep,Fp,d,diffuse,Ep_unc,d_unc,p_pulsar
4FGL J0006.4+0135,bll-blazar,-59.297,100.477,6.390,7.126,bll,0.997,bll,{},0.073,blazar,3.525,0.029,0.688,-0.450,1.283,0.430,0.100
4FGL J0006.4-5621,bll-blazar,-59.672,315.289,22.027,7.212,bll,0.825,bll,{},0.183,blazar,0.300,0.027,0.353,-0.605,0.551,0.458,0.010
4FGL J0006.6+4618,unID-blazar,-15.870,114.920,11.483,6.020,,0.000,unID,{2},0.065,,7.071,0.031,1.394,-0.046,1.929,0.795,0.070
4FGL J0007.0+7303,psr,10.462,119.663,8.232,401.705,PSR,1.000,psr,{},0.007,pulsar,1.922,23578.996,0.557,0.417,0.024,0.011,0.850
4FGL J0007.4-0322,unID-blazar,-64.025,97.161,12.367,5.484,,0.000,unID,{},0.089,,8.413,0.032,1.986,-0.426,,,0.020
4FGL J0007.5-5247,bcu_unk-pulsar,-63.070,317.653,10.770,5.705,bcu,0.921,bcu_unk,"{3,5}",0.407,,0.511,0.054,0.808,-0.631,0.207,0.355,0.870
4FGL J0007.7+4008,bcu_unk-blazar,-21.973,113.937,32.146,16.365,bcu,0.997,bcu_unk,{},0.047,,2.087,0.198,0.291,-0.111,0.934,0.155,0.000
4FGL J0008.0+4711,bll-blazar,-15.034,115.316,8.622,56.519,bll,1.000,bll,{},0.016,blazar,2.172,6.331,0.152,-0.046,0.479,0.039,0.000
4FGL J0008.0-3937,bcu_unk-blazar,-74.583,335.996,19.713,5.946,bcu,0.921,bcu_unk,{5},0.230,,0.195,0.153,0.438,-0.717,0.230,0.306,0.280
4FGL J0008.4+6926,unID-blazar,6.886,119.148,13.321,8.512,,0.000,unID,{3},0.082,,0.122,0.336,0.115,0.836,0.501,0.139,0.000
4FGL J0008.4-2339,bll-blazar,-79.691,50.265,13.542,11.074,bll,0.993,bll,{},0.041,blazar,17.632,0.116,0.399,-0.624,9.522,0.215,0.000
4FGL J0008.4+6837,bcu_unk-blazar,6.078,119.013,599.921,26.440,bcu,0.999,bcu_unk,{},0.028,,0.486,10.967,0.386,0.857,0.145,0.080,0.020
4FGL J0008.4+1455,bcu_unk-blazar,-46.677,107.724,51.233,19.205,bcu,0.992,bcu_unk,{},0.048,,2.139,0.265,0.211,-0.290,0.966,0.107,0.000
4FGL J0008.9+2509,unID-blazar,-36.725,110.915,20.426,4.126,,0.000,unID,{},0.252,,0.100,0.627,0.383,-0.342,0.131,0.374,0.210
4FGL J0009.1-5012,unID-blazar,-65.545,319.395,27.351,9.656,,0.000,unID,"{2,9}",0.156,,0.410,0.093,0.328,-0.663,0.378,0.213,0.010
4FGL J0009.1+0628,bll-blazar,-54.868,104.481,15.371,18.236,bll,0.993,bll,{},0.034,blazar,0.453,0.366,0.094,-0.228,0.677,0.077,0.000
4FGL J0009.2+1745,unID-pulsar,-43.965,108.909,19.297,7.263,,0.310,unID,{},0.148,,0.768,0.093,0.809,-0.361,0.367,0.466,0.960
4FGL J0009.3+5030,bll-blazar,-11.804,116.124,234.309,64.897,bll,1.000,bll,{},0.014,blazar,3.179,9.458,0.139,0.072,0.587,0.029,0.000
4FGL J0009.7-1418,unID-blazar,-73.912,83.706,14.395,9.196,,0.000,unID,{2},0.093,,0.100,0.377,0.171,-0.545,0.148,0.148,0.010
4FGL J0009.7-3217,rdg-blazar,-79.589,0.673,26.522,9.978,rdg,0.991,rdg,{},0.057,,0.276,0.059,0.116,-0.604,0.741,0.141,0.000
4FGL J0009.8-4317,bll-blazar,-71.766,327.775,17.161,13.523,bll,0.999,bll,{},0.046,blazar,0.100,0.134,0.001,-0.756,,0.089,0.000
4FGL J0009.8+1340,bcu_unk-blazar,-47.971,107.752,17.651,5.362,bcu,0.997,bcu_unk,{},0.075,,4.678,0.021,1.485,-0.223,1.395,1.177,0.000
4FGL J0009.8-6358,bcu_unk-blazar,-52.552,310.407,14.886,5.316,bcu,0.993,bcu_unk,{1},0.146,,0.100,0.784,-0.027,-0.607,,0.174,0.000
4FGL J0009.9+2810,unID-blazar,-33.807,111.931,14.099,5.353,,0.000,unID,{},0.106,,0.667,0.009,0.073,-0.237,4.653,0.234,0.000
4FGL J0010.1+1631,unID-blazar,-45.218,108.813,13.962,4.604,,0.000,unID,{},0.077,,3.982,0.005,0.180,-0.210,6.244,0.306,0.010
4FGL J0010.2-2431,unID-blazar,-80.374,46.330,13.785,4.321,,0.000,unID,{},0.094,,2.196,0.007,0.302,-0.652,2.121,0.359,0.010
4FGL J0010.6+2043,fsrq-blazar,-41.128,110.219,41.120,6.997,fsrq,0.970,fsrq,{},0.188,blazar,0.127,0.061,0.141,-0.203,0.638,0.246,0.000
4FGL J0010.6-3025,fsrq-blazar,-80.482,10.264,175.400,24.289,fsrq,0.997,fsrq,{2},0.055,blazar,0.257,1.159,0.313,-0.703,0.132,0.105,0.000
4FGL J0010.8-2154,bcu_unk-blazar,-79.401,60.281,12.840,6.050,bcu,0.990,bcu_unk,{},0.121,,0.100,0.151,-0.028,-0.667,,0.142,0.000
4FGL J0011.4-4110,bcu_unk-blazar,-73.720,330.752,11.568,4.389,bcu,0.934,bcu_unk,{},0.193,,0.100,0.058,0.173,-0.727,0.275,0.251,0.050
4FGL J0011.4+0057,fsrq-blazar,-60.303,102.407,346.113,28.245,fsrq,0.999,fsrq,{},0.058,blazar,0.175,1.806,0.167,-0.488,0.195,0.083,0.000
4FGL J0011.5+4822,unID-blazar,-13.961,116.118,11.985,4.283,,0.000,unID,{},0.271,,0.100,0.444,0.270,-0.012,0.131,0.299,0.140
4FGL J0011.8-3142,bcu_unk-blazar,-80.235,2.559,22.146,7.793,bcu,0.000,bcu_unk,{},0.088,,14.057,0.010,0.108,-0.710,31.130,0.229,0.000
4FGL J0012.0+7043,bcu_unk-blazar,8.112,119.661,38.123,12.206,bcu,0.978,bcu_unk,{},0.057,,0.100,1.600,0.016,0.705,,0.092,0.000
4FGL J0013.0+3355,fsrq-blazar,-28.277,113.895,106.574,11.104,fsrq,0.986,fsrq,{},0.056,blazar,0.720,0.025,0.199,-0.228,1.232,0.216,0.000
4FGL J0013.1-3955,bll-blazar,-74.936,332.340,32.802,24.768,bll,0.999,bll,{},0.034,blazar,2.187,0.281,0.266,-0.711,0.654,0.100,0.000
4FGL J0013.4+0950,bcu_unk-blazar,-51.902,107.642,20.064,9.274,bcu,0.998,bcu_unk,{},0.056,,1000.000,0.849,-0.100,0.096,,0.088,0.000
4FGL J0013.6+4051,agn-blazar,-21.451,115.258,15.373,7.020,agn,0.997,agn,{},0.072,,0.100,0.432,-0.100,-0.161,,0.082,0.000
4FGL J0013.6-0424,fsrq-blazar,-65.553,99.660,42.150,9.184,fsrq,0.992,fsrq,{2},0.136,blazar,0.100,0.142,-0.065,-0.481,,0.113,0.000
4FGL J0013.9-1854,bll-blazar,-78.092,74.588,8.591,14.792,bll,1.000,bll,{},0.040,blazar,40.012,0.071,0.034,-0.631,247.609,0.092,0.000
4FGL J0014.1+1910,bll-blazar,-42.827,110.890,40.664,9.595,bll,0.992,bll,{},0.101,blazar,0.356,0.153,0.250,-0.318,0.461,0.189,0.000
4FGL J0014.1-5022,bll-blazar,-65.695,317.453,14.434,13.949,bll,1.000,bll,{},0.061,blazar,0.100,0.139,-0.001,-0.647,,0.080,0.000
4FGL J0014.2+0854,bll-blazar,-52.852,107.619,16.299,5.967,bll,0.998,bll,{5},0.087,blazar,0.100,0.491,-0.024,0.046,,0.152,0.000
4FGL J0014.3-0500,bcu_unk-blazar,-66.182,99.509,27.607,14.114,bcu,0.996,bcu_unk,{},0.053,,0.100,0.803,0.101,-0.480,0.186,0.107,0.000
4FGL J0014.7+5801,bll-blazar,-4.498,118.075,15.140,11.777,bll,1.000,bll,{},0.041,blazar,30.467,0.209,0.366,0.593,17.696,0.202,0.010
4FGL J0014.8+6118,bcu_unk-blazar,-1.257,118.557,12.159,19.225,bcu,0.999,bcu_unk,{},0.037,,5.067,0.866,0.294,0.919,1.502,0.112,0.000
4FGL J0014.9+3212,bcu_unk-blazar,-30.022,114.010,46.274,16.589,bcu,0.965,bcu_unk,{},0.169,,0.193,1.449,0.418,-0.236,0.101,0.152,0.000
4FGL J0015.2+3537,bll-blazar,-26.678,114.718,15.013,6.990,bll,0.998,bll,{},0.059,blazar,1000.000,0.063,-0.097,-0.225,,0.110,0.000
