4FGL-DR4,source_type,glat,glon,variability,significance,class1,assoc_prob,association,flags,r95,trainer,Ep,Fp,d,diffuse,Ep_unc,d_unc,p_pulsar
4FGL J0611.1+4325,bcu_unk-blazar,11.568,169.812,13.749,19.600,bcu,0.997,bcu_unk,{},0.032,,9.750,0.279,0.202,0.183,4.928,0.114,0.000
4FGL J0611.4-4722,unID-blazar,-26.120,254.975,14.657,4.975,,0.000,unID,{3},0.124,,0.924,0.011,0.338,-0.279,1.166,0.371,0.420
4FGL J0611.5-2918,unID-blazar,-20.944,236.062,23.194,5.824,,0.000,unID,{},0.135,,0.100,0.021,-0.026,-0.361,,0.137,0.000
4FGL J0611.6-2712,bcu_unk-blazar,-20.198,233.974,469.068,30.111,bcu,0.861,bcu_unk,{2},0.069,,0.205,1.387,0.196,-0.403,0.172,0.084,0.000
4FGL J0611.6+2803,bll-blazar,4.528,183.621,30.563,10.706,bll,0.999,bll,{},0.052,blazar,0.945,0.336,0.241,0.673,0.956,0.174,0.000
4FGL J0612.2+1909,unID-blazar,0.383,191.495,16.160,5.401,,0.000,unID,{6},0.256,,0.282,7.508,1.077,0.985,0.094,0.368,0.240
4FGL J0612.5-3138,fsrq-blazar,-21.547,238.486,69.696,11.582,fsrq,0.999,fsrq,{},0.058,blazar,0.100,2.881,0.053,-0.394,,0.098,0.000
4FGL J0612.5-3934,bcu_unk-blazar,-23.974,246.692,16.630,6.432,bcu,0.958,bcu_unk,{},0.094,,0.404,0.053,0.319,-0.178,0.825,0.399,0.180
4FGL J0612.8+4122,bll-blazar,10.927,171.827,99.657,89.558,bll,1.000,bll,{},0.012,blazar,2.647,42.269,0.206,0.212,0.262,0.025,0.000
4FGL J0612.9+1150,unID-blazar,-2.987,198.002,7.985,4.054,,0.000,unID,{},0.090,,0.100,0.898,0.016,0.727,,0.178,0.000
4FGL J0613.1+1749,unID-blazar,-0.082,192.773,14.907,6.776,,0.940,unID,"{3,4,6}",0.125,,0.100,17.254,0.070,1.096,0.004,0.126,0.000
4FGL J0613.6+7108,bll-blazar,22.598,143.143,33.580,8.484,bll,1.000,bll,{},0.043,blazar,0.100,0.014,-0.006,0.129,,0.127,0.000
4FGL J0613.6+1709,bcu_unk-blazar,-0.285,193.426,50.760,4.685,bcu,0.976,bcu_unk,"{4,5}",0.175,,1.040,0.511,0.789,0.969,0.544,0.347,0.400
4FGL J0613.7-0201,msp,-9.305,210.423,5.879,75.235,MSP,1.000,msp,{},0.017,pulsar,0.968,105.270,0.620,0.391,0.054,0.049,0.980
4FGL J0614.1-3329,msp,-21.828,240.500,7.209,233.102,MSP,1.000,msp,{},0.009,pulsar,2.168,1231.720,0.577,-0.320,0.045,0.018,0.840
4FGL J0614.1+1628,unID-pulsar,-0.499,194.070,7.232,5.608,,0.000,unID,"{1,6}",0.433,,0.231,11.567,0.838,1.051,0.088,0.310,0.510
4FGL J0614.6-2306,unID-blazar,-18.047,230.197,9.345,4.297,,0.000,unID,{},0.079,,0.100,0.010,-0.033,-0.225,,0.200,0.000
4FGL J0614.8+5735,unID-blazar,18.008,156.746,34.212,7.227,,0.000,unID,{5},0.100,,0.100,0.059,-0.050,-0.064,,0.150,0.000
4FGL J0614.8+6136,bcu_unk-blazar,19.507,152.803,40.314,6.151,bcu,0.971,bcu_unk,{},0.175,,0.300,0.229,0.560,0.179,0.187,0.362,0.150
4FGL J0614.9+2426,bcu_unk-pulsar,3.457,187.152,10.389,7.488,bcu,,bcu_unk,{},0.073,,2.326,0.167,0.827,0.713,0.989,0.518,0.990
4FGL J0615.1-1901,unID-blazar,-16.343,226.316,15.021,5.093,,0.000,unID,{},0.097,,0.100,0.049,-0.074,-0.094,,0.156,0.000
4FGL J0615.3-3117,bll-blazar,-20.857,238.349,35.317,13.365,bll,1.000,bll,{},0.041,blazar,0.116,0.124,0.047,-0.367,0.914,0.109,0.000
4FGL J0615.9+1416,unID-blazar,-1.182,196.206,8.429,6.889,,0.290,unID,{1},0.189,,0.444,1.654,0.699,0.833,0.251,0.364,0.430
4FGL J0616.1-1732,bll-blazar,-15.524,225.011,12.050,5.631,bll,0.999,bll,{},0.051,blazar,16.915,0.091,1.977,0.138,,,0.000
4FGL J0616.2-0653,unID-blazar,-10.951,215.128,13.114,4.096,,0.000,unID,{},0.092,,0.100,0.451,0.180,0.403,0.227,0.246,0.140
4FGL J0616.5+2235,unID-blazar,2.905,188.962,13.724,14.955,,0.000,unID,"{2,5}",0.020,,10.197,37.477,0.109,0.885,7.132,0.050,0.000
4FGL J0616.7-1049,bcu_unk-blazar,-12.568,218.783,20.985,7.186,bcu,0.947,bcu_unk,{},0.286,,0.193,2.385,0.666,0.457,0.128,0.340,0.050
4FGL J0616.9+4340,bcu_unk-blazar,12.619,170.047,12.721,5.501,bcu,0.000,bcu_unk,{},0.045,,1000.000,0.025,0.023,0.133,329109.438,0.185,0.000
4FGL J0617.2+2234,snr-blazar,3.033,189.048,16.109,93.740,SNR,,snr,{},0.000,,1.431,13829.698,0.245,0.885,0.073,0.011,0.010
4FGL J0617.2+5701,bll-blazar,18.093,157.420,111.873,46.908,bll,1.000,bll,{},0.021,blazar,2.125,1.887,0.115,-0.019,0.848,0.044,0.000
4FGL J0617.6-4028,unID-blazar,-23.296,247.931,95.881,6.335,,0.000,unID,{},0.154,,0.100,2.680,0.069,-0.131,,0.165,0.000
4FGL J0617.7-1715,bll-blazar,-15.065,224.892,28.182,29.062,bll,0.872,bll,{},0.026,blazar,6.385,1.283,0.178,0.093,2.212,0.068,0.000
4FGL J0617.9-0319,bcu_unk-blazar,-8.959,212.090,33.449,4.418,bcu,0.967,bcu_unk,{},0.176,,0.117,0.379,0.269,0.348,0.302,0.260,0.000
4FGL J0618.1+7819,sbg-blazar,24.866,135.674,7.765,7.832,sbg,0.989,sbg,{},0.062,,0.100,0.082,-0.043,-0.058,,0.137,0.010
4FGL J0618.1-2428,fsrq-blazar,-17.834,231.856,9.354,8.754,fsrq,0.986,fsrq,{},0.133,blazar,1.168,0.068,0.428,-0.294,0.649,0.261,0.270
4FGL J0618.4+3150,unID-blazar,7.591,180.949,11.918,4.092,,0.000,unID,{},0.060,,10.716,0.019,0.407,0.583,7.647,0.323,0.000
4FGL J0618.7+1211,unID-blazar,-1.564,198.383,15.267,7.500,,0.000,unID,{},0.267,,0.349,3.770,1.185,0.688,0.124,0.505,0.340
4FGL J0618.9+2240,unID-pulsar,3.424,189.149,7.931,9.297,,0.000,unID,"{3,5,6}",0.066,,0.758,32.217,0.675,0.853,0.163,0.237,0.990
4FGL J0618.9-1138,bcu_unk-blazar,-12.413,219.782,29.638,6.000,bcu,0.996,bcu_unk,{},0.176,,0.389,0.346,0.305,0.600,0.543,0.244,0.000
4FGL J0620.0+5733,bcu_unk-blazar,18.644,157.046,10.714,4.747,bcu,0.991,bcu_unk,{},0.071,,6.967,0.005,0.713,-0.049,3.909,0.837,0.030
4FGL J0620.1+2246,unID-blazar,3.716,189.182,5.728,8.978,,0.000,unID,{2},0.099,,0.472,1.531,0.095,0.820,1.186,0.096,0.040
4FGL J0620.3+3804,bcu_unk-blazar,10.743,175.474,9.372,4.983,bcu,,bcu_unk,{5},0.058,,0.100,0.843,0.112,0.264,0.090,0.172,0.000
4FGL J0620.4+1445,unID-blazar,0.003,196.305,22.419,7.569,,0.000,unID,{1},0.170,,0.100,5.489,0.141,0.848,0.072,0.167,0.000
4FGL J0620.5-2512,bcu_unk-blazar,-17.598,232.786,140.807,17.801,bcu,0.995,bcu_unk,{},0.066,,0.117,5.589,0.338,-0.252,0.075,0.110,0.000
4FGL J0620.7+2643,bll-blazar,5.671,185.740,10.788,11.721,bll,1.000,bll,{},0.033,blazar,935.566,1.240,0.117,0.514,3745.148,0.118,0.000
4FGL J0620.7-5034,unID-blazar,-25.319,258.802,20.086,6.603,,0.000,unID,{},0.063,,0.154,0.010,0.028,-0.226,3.542,0.174,0.000
4FGL J0620.9+2201,unID-blazar,3.523,189.946,15.395,4.651,,0.000,unID,{},0.087,,1000.000,1.837,-0.003,0.657,,0.175,0.000
4FGL J0621.2-4648,bcu_unk-blazar,-24.366,254.785,11.856,5.753,bcu,0.992,bcu_unk,{},0.153,,0.100,0.387,0.186,-0.125,0.105,0.232,0.170
4FGL J0621.2+2512,msp,5.075,187.151,17.137,15.814,MSP,1.000,msp,{},0.056,pulsar,2.449,2.083,1.986,0.580,,,0.870
4FGL J0621.2-2213,bcu_unk-blazar,-16.298,229.965,19.792,9.354,bcu,0.976,bcu_unk,{},0.102,,0.569,0.067,0.244,-0.123,0.643,0.192,0.000
4FGL J0621.7-3411,bll-blazar,-20.575,241.763,4.551,6.836,bll,0.999,bll,{},0.071,blazar,3.679,0.014,0.187,-0.245,5.485,0.301,0.000
4FGL J0621.8+1746,bll-blazar,1.717,193.792,29.252,8.465,bll,1.000,bll,{3},0.158,blazar,1000.000,0.457,-0.030,0.679,,0.151,0.000
4FGL J0621.9+4219,unID-blazar,12.859,171.707,23.060,5.102,,0.000,unID,{},0.052,,4.126,0.007,0.176,0.109,5.625,0.244,0.000
4FGL J0622.2+3749,psr,10.974,175.875,10.886,41.621,PSR,1.000,psr,{},0.030,pulsar,0.706,44.369,1.576,0.224,0.036,0.151,1.000
4FGL J0622.3-2605,bll-blazar,-17.556,233.806,146.926,58.997,bll,0.999,bll,{},0.016,blazar,20.969,8.223,0.081,-0.200,14.274,0.031,0.000
4FGL J0622.4-6433,fsrq-blazar,-27.386,274.249,17.772,5.224,fsrq,0.992,fsrq,{},0.225,blazar,0.100,3.464,-0.100,-0.207,,0.131,0.000
4FGL J0622.5+3120,unID-pulsar,8.148,181.802,17.693,9.619,,0.550,unID,"{2,5}",0.166,,0.537,0.922,0.766,0.356,0.211,0.338,0.780
4FGL J0622.7+2248,unID-blazar,4.254,189.439,28.395,5.158,,0.430,unID,"{1,4,5}",0.147,,0.732,0.597,0.641,0.800,0.358,0.267,0.360
4FGL J0622.7-4141,bcu_unk-pulsar,-22.719,249.496,13.544,12.223,bcu,0.990,bcu_unk,{},0.068,,1.679,0.151,0.881,-0.190,0.361,0.326,0.990
4FGL J0622.9+3326,bcu_unk-blazar,9.152,179.940,2808.651,53.316,BCU,1.000,bcu_unk,{},0.014,,0.433,27.355,0.160,0.483,0.135,0.031,0.000
4FGL J0623.0-3010,bcu_unk-blazar,-18.922,237.864,33.690,6.640,bcu,0.988,bcu_unk,{},0.114,,0.154,0.299,0.291,-0.289,0.227,0.210,0.000
4FGL J0623.2+3044,bll-blazar,8.011,182.410,25.454,14.728,bll,0.998,bll,{},0.029,blazar,9.020,0.406,0.334,0.376,3.248,0.171,0.000
4FGL J0623.6-3351,bcu_unk-blazar,-20.090,241.559,641.771,32.752,bcu,0.994,bcu_unk,{},0.023,,0.340,4.845,0.263,-0.222,0.111,0.058,0.000
4FGL J0623.9-5259,bll-blazar,-25.359,261.535,21.610,11.075,bll,0.999,bll,{3},0.143,blazar,1000.000,0.066,-0.030,-0.142,,0.090,0.000
4FGL J0624.0+0855,unID-blazar,-1.945,201.870,11.450,4.262,,0.000,unID,{},0.084,,6.866,0.040,0.662,0.657,3.275,0.473,0.020
4FGL J0624.1-6330,bcu_unk-blazar,-27.081,273.102,19.295,5.766,bcu,0.000,bcu_unk,{},0.094,,5.101,0.007,0.612,-0.242,2.877,0.475,0.000
4FGL J0624.2-2943,bcu_unk-blazar,-18.514,237.504,9.416,6.064,bcu,0.000,bcu_unk,{},0.060,,1000.000,0.014,-0.005,-0.291,,0.149,0.000
4FGL J0624.7-4903,unID-pulsar,-24.335,257.341,10.414,6.812,,0.000,unID,{},0.159,,0.632,0.102,0.969,-0.339,0.237,0.522,0.990
4FGL J0624.8-0735,bcu_unk-blazar,-9.332,216.727,61.225,7.270,unk,0.000,bcu_unk,{},0.075,,1.196,0.164,0.454,0.520,0.735,0.287,0.020
4FGL J0625.3+4439,bll-blazar,14.391,169.777,34.088,28.906,bll,1.000,bll,{},0.026,blazar,0.925,0.873,0.096,0.102,0.773,0.056,0.000
4FGL J0625.5+7029,unID-blazar,23.350,144.113,14.576,5.734,,0.000,unID,{},0.043,,14.637,0.005,0.200,-0.015,18.704,0.260,0.000
4FGL J0625.8-5441,fsrq-blazar,-25.437,263.436,31.658,12.170,fsrq,0.997,fsrq,{},0.113,blazar,0.100,5.859,0.056,0.030,,0.113,0.000
4FGL J0626.4-4259,bll-blazar,-22.443,251.045,33.235,13.376,bll,0.997,bll,{},0.048,blazar,10.313,0.138,0.402,-0.197,3.868,0.257,0.000
4FGL J0626.4-1712,bll-blazar,-13.138,225.737,6.745,7.171,bll,0.998,bll,{3},0.053,blazar,0.100,0.565,-0.061,0.245,,0.095,0.000
4FGL J0626.8-2603,bcu_unk-blazar,-16.610,234.170,9.090,4.219,bcu,0.883,bcu_unk,{2},0.392,,0.100,0.528,-0.065,-0.146,,0.196,0.000
4FGL J0627.0+2623,bcu_unk-blazar,6.771,186.687,11.395,5.168,bcu,0.996,bcu_unk,{},0.057,,64.523,0.082,1.041,0.492,40.117,0.823,0.010
4FGL J0627.0-3529,rdg-blazar,-19.970,243.451,37.551,45.122,rdg,1.000,rdg,{},0.019,,57.633,2.752,0.035,-0.123,158.197,0.034,0.000
4FGL J0628.5+6218,unID-blazar,21.251,152.675,11.274,4.355,,0.400,unID,{},0.229,,0.241,0.168,0.778,0.079,0.127,0.414,0.480
4FGL J0628.6-6711,bcu_unk-blazar,-27.041,277.264,31.439,4.348,bcu,0.996,bcu_unk,{},0.141,,0.100,0.059,0.171,-0.196,0.630,0.350,0.000
4FGL J0628.6+6900,bcu_unk-blazar,23.208,145.761,14.472,12.096,bcu,0.985,bcu_unk,{2},0.112,,0.571,0.067,0.129,-0.075,0.911,0.118,0.000
4FGL J0628.8-6250,bll-blazar,-26.465,272.439,40.154,26.967,bll,0.998,bll,{},0.034,blazar,0.976,0.786,0.229,-0.199,0.385,0.082,0.000
4FGL J0629.3-1959,bll-blazar,-13.667,228.650,369.988,23.511,bll,1.000,bll,{},0.022,blazar,0.468,6.927,0.175,0.285,0.184,0.047,0.000
4FGL J0629.6+2435,bcu_unk-blazar,6.480,188.580,28.222,9.657,bcu,,bcu_unk,{},0.056,,4.517,0.151,0.501,0.446,1.505,0.218,0.000
4FGL J0630.1-2010,bcu_unk-blazar,-13.574,228.896,13.150,5.082,bcu,0.997,bcu_unk,{5},0.059,,0.100,0.019,-0.006,0.176,,0.209,0.000
4FGL J0630.2+3228,bcu_unk-blazar,10.102,181.505,11.936,4.920,bcu,0.983,bcu_unk,{},0.053,,2.806,0.015,0.196,0.345,3.531,0.262,0.000
4FGL J0630.9-2406,bll-blazar,-14.995,232.684,135.056,103.309,bll,1.000,bll,{10},0.012,blazar,11.253,75.098,0.197,-0.162,1.716,0.023,0.000
4FGL J0631.0+5626,unID-pulsar,19.648,158.701,9.926,6.179,,0.000,unID,{},0.062,,2.606,0.018,0.549,-0.113,1.251,0.335,0.580
4FGL J0631.1+2020,bcu_unk-blazar,4.851,192.537,71.335,14.253,bcu,0.995,bcu_unk,{},0.064,,1.047,1.049,0.550,0.354,0.405,0.227,0.050
4FGL J0631.4-1650,unID-blazar,-11.899,225.922,19.618,4.638,,0.000,unID,{},0.253,,0.100,0.513,0.002,0.238,,0.196,0.000
4FGL J0631.5+1036,psr,0.454,201.236,8.357,48.175,PSR,1.000,psr,{},0.025,pulsar,1.679,66.999,0.733,0.986,0.119,0.082,1.000
4FGL J0631.8+0645,psr,-1.245,204.683,9.195,30.863,PSR,1.000,psr,{},0.032,pulsar,2.322,23.936,1.097,0.679,0.208,0.181,1.000
4FGL J0632.0-1032,bcu_unk-pulsar,-9.041,220.198,6.079,11.594,bcu,0.947,bcu_unk,{2},0.070,,0.632,0.675,0.343,0.511,0.478,0.191,0.890
4FGL J0632.7+1215,unID-pulsar,1.478,199.910,11.750,4.773,,0.000,unID,"{3,4}",0.146,,0.607,0.375,0.762,0.754,0.414,0.426,0.950
4FGL J0632.8+0550,hmb-blazar,-1.448,205.611,14.404,5.042,hmb,0.800,hmb,{10},0.100,,0.100,1.361,-0.100,0.714,,0.073,0.000
4FGL J0633.4-2222,fsrq-blazar,-13.768,231.280,144.623,14.547,fsrq,0.998,fsrq,{},0.070,blazar,0.355,0.917,0.638,0.010,0.144,0.242,0.000
4FGL J0633.7+0632,psr,-0.928,205.093,10.276,96.174,PSR,1.000,psr,{},0.015,pulsar,1.231,959.123,0.747,0.737,0.144,0.089,0.970
4FGL J0633.9+5840,unID-blazar,20.745,156.590,11.198,5.155,,0.000,unID,{},0.079,,0.100,0.009,0.028,-0.224,1.693,0.146,0.000
4FGL J0633.9+1746,psr,4.273,195.135,20.052,897.975,PSR,1.000,psr,"{9,10}",0.008,pulsar,1.254,6488605.864,0.740,0.541,0.005,0.005,0.980
4FGL J0634.6-3046,unID-blazar,-16.809,239.402,12.559,8.770,,0.910,unID,{6},0.229,,0.167,1.719,0.797,0.090,0.099,0.498,0.170
4FGL J0634.7+1036,unID-pulsar,1.169,201.595,6.058,5.495,,0.000,unID,"{3,5}",0.285,,0.319,2.832,0.699,0.900,0.154,0.277,0.550
4FGL J0634.9-2335,fsrq-blazar,-13.960,232.570,652.253,26.559,fsrq,0.998,fsrq,{},0.065,blazar,0.100,4.245,0.170,0.000,0.064,0.107,0.000
4FGL J0635.6-7518,fsrq-blazar,-27.171,286.405,484.435,29.423,fsrq,0.997,fsrq,{},0.035,blazar,0.100,28.754,0.144,-0.063,0.012,0.061,0.000
4FGL J0635.7+3113,unID-blazar,10.635,183.158,10.302,4.859,,0.000,unID,{},0.061,,0.100,0.046,-0.001,0.208,,0.174,0.050
4FGL J0636.7+7139,bcu_unk-blazar,24.511,143.119,422.678,26.050,bcu,0.998,bcu_unk,{},0.023,,0.100,1.913,0.090,0.032,0.121,0.055,0.000
4FGL J0637.3-6220,unID-blazar,-25.421,272.065,16.245,4.120,,0.450,unID,{},0.080,,4.068,0.005,0.477,-0.214,2.460,0.317,0.050
4FGL J0637.4-3537,bcu_unk-blazar,-18.037,244.364,18.484,8.348,bcu,0.962,bcu_unk,{},0.095,,1.115,0.060,0.358,-0.018,0.772,0.248,0.140
4FGL J0638.2+6020,bcu_unk-pulsar,21.777,155.066,16.560,7.388,bcu,0.955,bcu_unk,{2},0.111,,0.615,0.060,0.444,-0.084,0.437,0.272,0.600
4FGL J0638.6+7320,fsrq-blazar,25.003,141.340,94.032,13.200,fsrq,0.970,fsrq,{},0.088,blazar,0.100,7.585,0.178,-0.074,0.013,0.120,0.000
4FGL J0638.7+2753,bcu_unk-blazar,9.776,186.504,8.228,5.666,bcu,0.989,bcu_unk,{},0.062,,12.503,0.017,0.245,0.159,14.384,0.243,0.030
4FGL J0638.7+5658,bcu_unk-blazar,20.825,158.534,25.222,4.762,bcu,0.901,bcu_unk,{},0.321,,0.153,0.224,0.471,-0.190,0.175,0.338,0.010
4FGL J0639.1-8009,unID-blazar,-27.220,291.860,22.070,5.127,,0.000,unID,{},0.205,,0.240,0.168,0.400,0.239,0.296,0.311,0.040
4FGL J0639.4+0655,snr-pulsar,0.503,205.400,8.658,19.814,SNR,,snr,{3},0.000,,0.613,990.583,0.691,0.855,0.070,0.111,0.930
4FGL J0639.6+3503,bcu_unk-blazar,12.964,179.952,11.518,7.948,bcu,0.933,bcu_unk,{3},0.159,,0.100,1.579,0.006,0.151,,0.127,0.000
4FGL J0640.0-1253,bll-blazar,-8.321,223.214,7.507,17.985,bll,1.000,bll,{},0.030,blazar,1000.000,2.539,0.063,0.468,11825.521,0.097,0.000
4FGL J0640.4+3307,unID-blazar,12.330,181.834,9.530,4.622,,0.000,unID,{},0.073,,3.791,0.008,0.084,0.111,9.094,0.197,0.000
4FGL J0640.5-2714,unID-pulsar,-14.250,236.543,8.697,4.329,,0.910,unID,{},0.141,,1.084,0.025,0.469,0.201,0.913,0.346,0.570
4FGL J0640.7-1924,bcu_unk-blazar,-10.997,229.241,16.269,4.553,bcu,0.913,bcu_unk,{3},0.359,,0.121,0.611,0.367,0.319,0.207,0.326,0.190
4FGL J0640.8+2432,bcu_unk-blazar,8.747,189.768,24.310,6.268,bcu,0.996,bcu_unk,{},0.065,,13.152,0.077,0.680,0.156,5.585,0.448,0.020
4FGL J0640.9-5204,unID-blazar,-22.622,261.234,31.597,4.514,,1.000,unID,{},0.057,,5.693,0.004,0.518,-0.233,3.972,0.547,0.000
4FGL J0641.4+3349,unID-blazar,12.797,181.268,10.912,5.362,,0.000,unID,{},0.089,,12.247,0.010,0.161,0.130,20.419,0.338,0.000
4FGL J0641.7-0320,fsrq-blazar,-3.679,214.811,430.485,20.564,FSRQ,1.000,fsrq,{},0.060,blazar,0.148,53.272,0.420,0.790,0.062,0.098,0.000
4FGL J0642.4+1048,unID-blazar,2.935,202.282,29.306,6.032,,0.000,unID,{1},0.230,,0.316,1.073,0.564,0.577,0.248,0.305,0.100
4FGL J0642.9-6501,unID-blazar,-25.298,275.111,12.465,10.308,,0.000,unID,{},0.105,,0.179,0.204,0.246,-0.129,0.368,0.223,0.100
4FGL J0643.2-5356,bcu_unk-blazar,-22.786,263.281,176.189,16.514,bcu,0.984,bcu_unk,{2},0.059,,0.100,0.319,0.119,-0.077,0.159,0.127,0.000
4FGL J0643.3+0857,fsrq-blazar,2.286,204.042,425.225,27.626,fsrq,0.995,fsrq,{},0.044,blazar,0.199,64.396,0.365,0.716,0.062,0.068,0.000
4FGL J0643.4-3314,bcu_unk-blazar,-16.023,242.513,23.704,4.230,bcu,0.977,bcu_unk,{9},0.157,,0.789,0.040,0.452,-0.019,0.678,0.442,0.030
4FGL J0644.4-6712,fsrq-blazar,-25.528,277.527,1575.511,52.550,fsrq,1.000,fsrq,{},0.015,blazar,0.930,5.334,0.184,-0.184,0.233,0.041,0.000
4FGL J0644.4-1401,bcu_unk-blazar,-7.866,224.702,11.849,4.084,unk,0.000,bcu_unk,{},0.053,,6.590,0.011,0.267,0.451,7.077,0.305,0.000
4FGL J0644.6+6039,bll-blazar,22.617,154.981,35.884,16.269,bll,0.990,bll,{3},0.054,blazar,0.100,0.255,-0.008,-0.099,,0.070,0.000
4FGL J0644.6-2853,bcu_unk-blazar,-14.075,238.472,11.758,10.999,bcu,0.996,bcu_unk,{},0.047,,8.444,0.117,0.416,0.041,3.292,0.225,0.000
4FGL J0644.7+3917,fsrq-blazar,15.590,176.373,12.817,4.116,fsrq,0.994,fsrq,{},0.132,blazar,0.100,0.071,-0.095,0.060,,0.162,0.000
4FGL J0644.7-4949,unID-pulsar,-21.409,259.088,16.546,4.418,,0.000,unID,{},0.166,,0.418,0.040,0.616,-0.225,0.266,0.317,0.690
4FGL J0646.4-5455,msp,-22.595,264.449,10.049,18.292,msp,0.998,msp,{},0.050,pulsar,1.936,0.656,1.956,-0.075,0.166,0.230,0.990
4FGL J0646.5+0018,spp-pulsar,-0.955,212.102,5.551,6.233,spp,0.800,spp,{},0.174,,0.500,2.302,0.781,0.898,0.176,0.254,0.830
4FGL J0646.7-3913,fsrq-blazar,-17.609,248.575,33.673,5.460,fsrq,0.953,fsrq,{2},0.256,blazar,0.100,0.771,0.406,-0.082,0.147,0.334,0.000
4FGL J0647.0-5138,bll-blazar,-21.593,261.068,18.244,11.314,bll,0.991,bll,{},0.046,blazar,1000.000,0.229,-0.018,-0.230,,0.101,0.000
4FGL J0647.6+4459,unID-blazar,18.172,171.032,18.265,5.322,,0.000,unID,{3},0.215,,0.209,1.444,0.905,-0.043,0.141,0.546,0.090
4FGL J0647.7-4418,bcu_unk-pulsar,-19.201,253.672,13.904,9.636,bcu,0.851,bcu_unk,{},0.078,,1.608,0.070,0.496,-0.160,0.656,0.258,0.590
4FGL J0647.7-6058,bll-blazar,-23.936,270.878,132.670,14.901,bll,0.999,bll,{},0.043,blazar,0.100,3.318,0.058,0.036,0.003,0.073,0.000
4FGL J0647.8+4527,bcu_unk-blazar,18.373,170.572,17.554,4.858,bcu,0.990,bcu_unk,{},0.106,,0.100,1.205,-0.001,-0.030,,0.223,0.000
4FGL J0648.0-3045,fsrq-blazar,-14.151,240.533,533.673,34.907,fsrq,0.993,fsrq,{2},0.041,blazar,0.154,18.644,0.273,0.071,0.056,0.054,0.000
4FGL J0648.1+1605,bcu_unk-blazar,6.556,198.180,14.813,6.646,bcu,0.990,bcu_unk,{},0.046,,14.016,0.035,0.205,0.141,15.943,0.239,0.000
4FGL J0648.2+1745,bcu_unk-blazar,7.326,196.685,17.099,6.597,bcu,0.901,bcu_unk,{},0.053,,0.100,0.155,-0.097,0.112,,0.118,0.000
4FGL J0648.4-1744,fsrq-blazar,-8.623,228.511,4786.469,91.613,fsrq,1.000,fsrq,{},0.013,blazar,0.217,386.225,0.236,0.469,0.043,0.025,0.000
4FGL J0648.4-6941,bll-blazar,-25.572,280.306,9.619,4.431,bll,0.967,bll,{},0.083,blazar,15.169,0.005,0.324,-0.088,17.205,0.344,0.010
4FGL J0648.6-3623,unID-pulsar,-16.216,245.974,8.373,6.312,,0.000,unID,"{1,2}",0.200,,0.546,0.201,0.793,0.151,0.246,0.408,0.950
4FGL J0648.7+1516,bll-blazar,6.324,198.977,51.902,38.210,bll,1.000,bll,{},0.015,blazar,116.205,10.453,0.112,0.104,125.005,0.044,0.000
4FGL J0649.3+2230,bcu_unk-blazar,9.618,192.481,19.312,6.856,bcu,,bcu_unk,{},0.102,,6.223,0.025,0.032,0.321,29.406,0.144,0.000
4FGL J0649.5-3139,bll-blazar,-14.209,241.525,38.754,15.987,bll,1.000,bll,{},0.023,blazar,30.693,0.587,0.379,0.016,14.852,0.165,0.000
4FGL J0650.2+5620,fsrq-blazar,22.141,159.684,20.810,4.856,fsrq,0.984,fsrq,{},0.151,blazar,0.100,0.103,0.041,-0.207,,0.191,0.000
4FGL J0650.2-5144,unID-blazar,-21.152,261.336,17.739,10.282,,0.000,unID,{},0.037,,15.107,0.050,0.464,-0.140,7.514,0.320,0.000
4FGL J0650.2-1636,bcu_unk-blazar,-7.733,227.670,170.041,24.539,bcu,0.983,bcu_unk,{2},0.055,,0.100,15.576,0.233,0.485,0.090,0.090,0.000
4FGL J0650.5-2851,bcu_unk-blazar,-12.899,238.976,30.861,6.527,bcu,0.979,bcu_unk,{},0.167,,0.362,0.315,0.648,0.120,0.187,0.305,0.020
4FGL J0650.6+2055,bcu_unk-blazar,9.203,194.055,15.617,20.579,unk,0.000,bcu_unk,{},0.030,,25.034,0.662,0.191,0.056,17.146,0.098,0.000
4FGL J0650.7+2503,bll-blazar,11.002,190.280,426.887,98.139,bll,1.000,bll,{},0.012,blazar,157.393,124.021,0.081,0.027,122.273,0.018,0.000
4FGL J0651.0+4013,bll-blazar,17.066,175.929,15.577,21.622,bll,1.000,bll,{},0.035,blazar,1.891,0.355,0.162,-0.037,1.002,0.088,0.000
4FGL J0651.4+6525,bll-blazar,24.500,150.130,19.829,19.518,bll,0.996,bll,{},0.048,blazar,1.022,0.126,0.138,-0.203,0.955,0.097,0.000
4FGL J0651.5+7956,bcu_unk-blazar,26.684,134.197,7.747,6.305,bcu,0.995,bcu_unk,{},0.090,,0.100,0.446,-0.100,-0.238,,0.118,0.010
4FGL J0651.9-4330,unID-blazar,-18.204,253.152,14.916,4.280,,0.000,unID,{2},0.236,,0.329,0.182,0.765,-0.113,0.225,0.583,0.240
4FGL J0652.1-4813,bll-blazar,-19.765,257.862,10.251,7.517,bll,0.991,bll,{},0.109,blazar,7.311,0.021,0.221,-0.163,6.341,0.244,0.000
4FGL J0652.5+1932,bcu_unk-pulsar,9.018,195.513,11.010,6.868,bcu,0.972,bcu_unk,{},0.143,,0.623,0.197,0.861,0.015,0.295,0.493,0.990
